LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
127001,달서구립 도원도서관,,42833,053-667-4840,053-667-2219,대구광역시 달서구 한실로 113,sunme@dalseomail.net,http://www.dalseolib.kr
127002,달서어린이도서관,,42802,053-667-4860,053-667-4879,대구광역시 달서구 송현로 45,shsweet@dalseomail.net,http://www.dalseolib.kr
127003,한들마을도서관,,701-480,053)985-1513,053)985-1513,대구 동구 지묘동 497-1,jsubb@hanmail.net,http://handl.winbook.co.kr
127004,사랑나누기 도서관(평생학습관),,711-834,053-635-6306,0505-809-0768,대구 달성군 화원읍 천내리 115-11,heloves@naver.com,
127005,달서구립 성서도서관,,42615,053-667-4900,053-667-4909,대구광역시 달서구 선원남로 129,hyeong31@korea.kr,http://www.dalseolib.kr
127006,용산1동 작은도서관,,704-131,053-667-3285,053-667-3385,대구 달서구 용산1동 934-6 (용산1길 191),time8085@naver.com,http://www.dalseo.daegu.kr/dong/yongsan1/
127007,장기동주민자치센터도서실,,704-180,053-526-3025,053-667-3359,대구 달서구 장기로 515 (장기동 817-2),jhh1022@hanmail.net,http://www.dalseo.daegu.kr/
127008,죽전동 작은도서관,,704-160,053-667-3308,053-667-3358,대구 달서구 죽전동204-12,kds0404@korea.go.kr,http://www.dalseo.daegu.kr/dong/jukjeon/
127009,구수산도서관,,41434,053-320-5150,053-311-8197,대구광역시 북구 대천로 21,bjgu5973@korea.kr,http://lib.buk.daegu.kr
127010,어린이청소년도서관 더불어숲,,702-877,053-326-0937,053-289-0937,대구 북구 국우동 1099-1번지 해일빌딩 3층,mondrag@naver.com,http://www.withwith.net
127011,대구서구어린이도서관,,41758,053-663-3701,053-663-3709,대구광역시 서구 문화로 123 (이현동),bhs625@korea.kr,http://lib.dgs.go.kr
127012,달서구립 본리도서관,,42676,053-667-4930,053-667-3229,대구광역시 달서구 당산로 37-25,sooya1011@korea.kr,http://www.dalseolib.kr
127013,수성구립 용학도서관,,42200,053-668-1700,053-668-1739,대구광역시 수성구 지범로41길 36,yonghaklibrary@sscf.or.kr,http://library.suseong.kr/yonghak/
127014,푸른초장공공도서관,,42602,053-582-3394,,"대구광역시 달서구 달구벌대로 973, 2층 푸른초장공공도서관 (파호동)",pucho3395@naver.com,
127015,대명4동 꿈틀 작은도서관,,705-824,053-621-8667,053-621-8665,대구 남구 대명4동 3032-30번지 2층,all35200813@korea.kr,
127016,남산4동 작은도서관,,770-440,053-661-3765,,대구 중구 남산동 2508-1번지,apollo@korea.kr,
127017,수성구립 책숲길도서관,,42152,053-668-1811,,대구광역시 수성구 수성로 215 4층,yonghaklibrary@sscf.or.kr,http://library.suseong.kr/yonghak/
127018,수성구립 물망이도서관,,706-833,053-666-4390,053-666-4358,"대구광역시 수성구 명덕로 443-2 (수성동3가) 수성2,3가동 주민센터 4층",greensea80@hanmail.net,http://www.yhlib.or.kr
127019,수성구립 파동어린이도서관,,706-849,053-668.1801,053-666-4351,"대구광역시 수성구 파동로3길 62, 1층 파동도서관",haloppu@sscf.or.kr,http://www.yhlib.or.kr
127020,수성구립 고산어린이도서관,,706-170,053-666-2190,053-666-4637,대구광역시 수성구 고산로 101 (신매동 566-3) 시지 E마트 지하1층,greensea80@hanmail.net,http://www.yhlib.or.kr
127021,수성구립 사월역작은도서관,,706-160,053-792-8582,053-792-8583,대구광역시 수성구 달구벌대로 지하3290 (신매동),greensea80@hanmail.net,http://www.yhlib.or.kr
127022,남산다락골작은도서관,,700-443,053-254-6115,053-256-6115,대구 중구 남산3동 225-1번지 교육원 다동,maxyoung@hanmail.net,
127023,새마을문고 대구서구지부,,703-809,053-554-5163,053-554-5163,대구 서구 달서로 26길 35 -8 2층 새마을문고대구서구지부 작은도서관,eunju1893@daum.net,http://cafe.daum.net/sobak2000
127024,만평주민도서관,,703-851,053-356-0465,053-356-3496,대구 서구 원대동3가 1371-6,vongsa@hanmail.net,http://cafe.daum.net/manpyunglib
127025,상인역e-편한세상마을문고,,704-868,053-634-5577,,대구광역시 달서구 월서로 3길 15 상인역 e-편한세상 아파트 내,heoboom@hanmail.net,
127026,월성푸르지오책마루도서관,,704-400,053-635-0061,053-635-0068,대구 달서구 월성동 월성푸르지오 관리동 2층,soran228@hanmail.net,
127027,달성군청 도서관,,711-790,053-668-2214,053-668-2219,대구 달성군 논공읍 금포리 달성군청,eulsun65@hanmail.net,
127028,삼성명가작은도서관,,704-742,010-2528-5672,053-585-1455,대구 달서구 파호동 삼성명가타운 관리동 2층,kld5672@naver.com,다음카페 삼성명가도서관
127029,신천3동 작은도서관,,701-023,053-662-3307,,대구 동구 신천3동 80-2,cifl0401@korea.kr,
127030,도평동 작은도서관,,701-180,053-662-2193,,대구 동구 도동 978-301(팔공로 24길 171),cifl0401@korea.kr,
127031,반야월 작은도서관,,701-300,053-662-2193,,대구 동구 신서동 823-25(반야월북로 250),cifl0401@korea.kr,
127032,양무리문고,,703-060,053-551-8066,053-551-8066,대구 서구 내당동52-4번지,queen6320@hanmail.net,
127033,달성군종합사회복지관 문고,,711-857,053-615-9191,053-615-1999,대구 달성군 논공읍 북1리 1-104,02dalbok@hanmail.net,
127034,꿈꾸는작은도서관(대구 달성군),,711-778,053-586-5655,,대구 달성군 다사읍 매곡리 죽곡하우젠트아너스빌아파트 101-106,baksangki@nate.com,
127035,글향기도서관(달서구),,704-837,053-637-0691,053-637-0697,대구 달서구 진천동 768-1번지,rgr0691@naver.com,
127036,꿈에그린작은도서관,,704-770,053-592-8525,053-592-8526,대구 달서구 신당동 한화꿈에그린아파트 682-30 관리동3층,chlgh78@lycos.co.kr,
127037,월배힐스테이트 반딧불 도서관,,704-864,010-9044-5256,053-636-7229,대구 달서구 대천동 월배힐스테이트아파트 101지하 도서관,juneju10@yahoo.co.kr,
127038,어린이도서관 햇빛따라,,703-816,070-8821-5234,053-561-5234,대구 서구 비산6동 560-6번지 2층,kej5219@hanmail.net,http://cafe.daum.net/seogumun
127039,성당포스코더샾작은도서관,,704-080,704-080,053-657-3401,대구 달서구 성당동834번지 108동1층 문고,pos3401@naver.com,
127040,월성월드메르디앙 도서관,,704-400,010-3813-0459,,대구 달서구 월성동 월드메르디앙 777-2번지,lovesj36@hanmail.net,
127041,화성파크리젠시 글길도서관,,704-390,070-4243-8737,053-631-1954,대구 달서구 유천동 120-7 화성파크리젠시 아파트 1단지 내 2층,gioaks69@nate.com,
127042,달성군청소년센터 작은도서관,,711-852,053-617-1388,053-617-1390,대구 달성군 논공읍 남리 717-8번지 달성군청소년센터,ojhtt@naver.com,http://www.dsyc.kr
127043,소망의친구들 도서문고,,704-150,053-522-7942,053-562-9228,대구 달서구 감삼동 144-2,solachristus@hanmail.net,
127044,그루터기 어린이도서관,,704-200,010-6558-4018,,대구 달서구 신당동1723-6번지 꿈을 이루는 교회 4층,chaelib99@korea.kr,
127045,여명주민도서실,,704-776,053-581-8310,053-583-1293,대구 달서구 신당동 신당로 55,dsd21@hanmail.net,dsd21.kr
127046,성당하늘채도서관,,704-150,053-525-5957,053-556-7790,대구 달서구 감삼동 287-57 성당코오롱하늘채@ 단지 내,kim20123@hanmail.net,
127047,월성도서관,,704-400,010-9545-6710,,대구 달서구 월성동 1225-1 월성제일교회,jeusehs@hanmail.net,
