LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
111001,4.19혁명기념도서관,,110-102,02-737-9556,,서울특별시 종로구 평동 166,419lib@naver.com,http://library.419revolution.org/
111003,강남도서관,,06093,02)3448-4744,02)517-9194,서울특별시 강남구 선릉로116길 45,gn@gangnamlib.seoul.kr,http://gnlib.sen.go.kr/
111004,강동도서관,,05344,02)2225-9841,02)472-0522,서울특별시 강동구 양재대로116길 57 1층 문헌정보실,gdlib@sen.go.kr,gdlib.sen.go.kr
111005,강서도서관,,07669,02)3219-7026,02)3219-7092,서울특별시 강서구 등촌로51나길 29,gslib@sen.gorkr,gslib.sen.go.kr/
111006,개포도서관,,06327,02)3460-8200,02)3462-1970,서울특별시 강남구 선릉로4길 30,admin@gaepo.lib.seoul.kr,http://gplib.sen.go.kr
111007,고덕평생학습관,,05225,02-6902-2600,02-6902-2680,서울특별시 강동구 고덕로 295,gdllc@godeok.or.kra,http://gdllc.sen.go.kr/
111008,고척도서관,,08239,02-2615-0526,02-2682-4176,서울특별시 구로구 고척로45길 31,gochuk2@sen.go.kr,http://gclib.sen.go.kr
111009,구로도서관,,08298,02-6958-2800,02-6958-2888,서울특별시 구로구 공원로 15,grlib@sen.go.kr,
111010,남산도서관,,04340,02-6911-0125,02-779-6546,서울특별시 용산구 소월로 109 (후암동),goodegg@sen.go.kr,https://nslib.sen.go.kr/nslib/index.do
111011,도봉도서관,,01368,02-6714-7424,02-991-3974,서울특별시 도봉구 삼양로 556 (쌍문동),,http://dblib.sen.go.kr
111012,서울특별시교육청동대문도서관,,02586,02-2170-1000,02-2233-1846,서울특별시 동대문구 천호대로4길 22,dplib@sen.go.kr,http://ddmlib.sen.go.kr/
111013,동작도서관,,06925,02)823-6418,02)823-6511,서울특별시 동작구 장승배기로 94,djlib@sen.go.kr,djlib.sen.go.kr/
111014,마포평생학습관,,04054,02-2137-0015,02-323-1057,서울특별시 마포구 홍익로2길 16,mapollc@sen.go.kr,http://mpllc.sen.go.kr
111015,양천도서관,,07988,02)2062-3922,02)2652-5943,서울특별시 양천구 목동서로 113 (목동),hyo618@hanmail.net,yclib.sen.go.kr/
111016,서대문도서관,,03717,02)396-3157,02)6948-2119,서울특별시 서대문구 모래내로 412,-,http://sdmlib.sen.go.kr/
111017,서울시교육청 어린이도서관,,03027,02-731-2300,02-723-5023,서울특별시 종로구 사직로9길 7,childlib@sen.go.kr,childlib.sen.go.kr
111018,영등포평생학습관,,07229,02)6712-7500,02)2636-1680,서울특별시 영등포구 버드나루로15길 10,-,ydpllc.sen.go.kr/
111019,용산도서관,,04328,02)754-3439,02)754-3744,서울특별시 용산구 두텁바위로 160,yslib@sen.go.kr,yslib.sen.go.kr
111020,정독도서관,,03055,02-737-6943,02-722-5707,서울특별시 종로구 북촌로5길 48,rkfka7@hanmail.net,jdlib.sen.go.kr/
111021,종로도서관,,110-054,02-7210-721,02)737-1707,서울특별시 종로구 사직로9길 15-14(사직동1-28),jnlib@sen.go.kr,http://jnlib.sen.go.kr/
111022,노원평생학습관,,01783,02) 979-1742,02)977-9182,서울특별시 노원구 동일로204길 13,-,http://nwllc.sen.go.kr/
111023,오류도서관ⓧ,,152-890,02)2613-8983,02)2614-8982,서울특별시 구로구 오류1동 13-15,harchive@naver.com,http://oryulibrary.or.kr/
111025,학산도서관,,110-848,02)396-3916,02-396-3907,서울 종로구 평창동 400~529 466-9 (재)일중장학재단 학산도서관,www.haksan.or.kr,http://www.haksan.or.kr/
111026,한국사회과학도서관,,110-054,02)767-9514,02)767-9595,서울특별시 종로구 사직동 304-28,ynshin@lib.kssi.or.kr,www.kossda.or.kr/
111028,한국점자도서관,,05242,02)3426-7411,02)3426-7411,서울특별시 강동구 상암로4가길 32,cjs@kdll.or.kr,infor.kbll.or.kr/
111029,한국학생도서관,,100-380,02)275-0753,02)279-9035,서울특별시 중구 묵정동 18-27,,
111030,송파도서관,,05725,02-3434-3323,02-404-7957,서울특별시 송파구 동남로 263(오금동 51),magnetism@sen.go.kr,splib.sen.go.kr/
111031,마포평생학습관아현분관,,04202,02-362-8786,02-393-1586,서울특별시 마포구 마포대로 224,mapollc@sen.go.kr,http://ahyon.sen.go.kr/
111033,맹인점자도서관ⓧ,,139-200,02)950-0114,02)934-806,서울 노원구 상계동 771,,
111034,중랑구립정보도서관,,02041,02-3407-1111,02-3422-1114,서울특별시 중랑구 신내로15길 197,bgl7407@jungnanglib.seoul.kr,www.jungnanglib.seoul.kr/
111035,성동구립도서관,,04744,02-2204-6420,0222996449,서울특별시 성동구 고산자로10길 9,webmaster@sdfac.or.kr,http://www.sdlib.or.kr
111036,광진정보도서관,,04969,02-3437-5092,02-3437-0164,서울특별시 광진구 아차산로78길 90,tjk11@gwangjinlib.seoul.kr,http://www.gwangjinlib.seoul.kr/
