LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
121001,부산맹인점자도서관,,617-810,051)626-9010,051)626-9011,부산광역시 사상구 덕포2동 24-65,,
121002,부산광역시 구덕도서관,,49202,051-220-3820,051-220-3890,부산광역시 서구 대신공원로 41,guduck@pen.go.kr,http://www.guducklib.kr/
121003,부산광역시 구포도서관,,46637,051-330-6324,051-343-6191,부산광역시 북구 백양대로1016번다길 43,kupolib@korea.kr,
121004,부산광역시 반송도서관,,612-081,051-545-0103,051-545-0105,부산광역시 해운대구 아랫반송로 22 (반송동),hj4406@korea.kr,https://home.pen.go.kr/bansonglib/main.do
121005,부산광역시 부전도서관,,47292,051-802-6304,051)803-5398,부산광역시 부산진구 동천로 79 (부전동),whitelaim@pen.go.kr,https://home.pen.go.kr/bujunlib/
121006,부산광역시 사하도서관,,49321,051-203-0571,051-203-9243,부산광역시 사하구 승학로 247 (괴정동),kolas2@korea.kr,http://www.sahalib.kr
121007,부산광역시 서동도서관,,46313,051-522-0456,051)522-2337,부산광역시 금정구 서부로76번길 5 (서동),-,
121008,부산광역시 시민도서관,,47103,051-810-8247,051-817-3599,부산광역시 부산진구 월드컵대로 462 (초읍동),park202@korea.kr,http://www.siminlib.go.kr/
121009,부산광역시립 시민도서관 동래분관 ⓧ,,,,,,,
121010,부산광역시립 중앙도서관 수정분관,,600-082,051-250-0376,051)248-5754,부산광역시 동구 홍곡로 53,chanel06@korea.kr,https://library.busan.go.kr/portal/index.do
121011,부산광역시 연산도서관,,47558,051-792-5400,051-792-5408,부산광역시 연제구 고분로191번길 16,yslib@korea.kr,www.yeonsanlib.kr
121012,부산광역시립중앙도서관,,48903,051-250-0344,051)248-5754,부산광역시 중구 망양로193번길 146 (보수동1가),kar0825@korea.kr,
121013,부산광역시립해운대도서관 우동분관,,612-819,051-742-2167~8,051)744-0209,부산광역시 해운대구 우동1로 89 (우동),jin28013@hanmail.net,http://www.haeundaelib.or.kr/
121014,부산광역시 영도도서관,,49114,051-419-4836,051-419-4829,부산광역시 영도구 함지로79번길 6 (동삼동),basara@metro.busan.kr,http://www.yeongdo.go.kr/library.web
121015,부산광역시 명장도서관,,47778,051-527-0583,051-526-1772,부산광역시 동래구 명안로46번길 35,dhild@hanmail.net,http://www.mjlib.kr
121017,부산광역시립해운대도서관기장분관ⓧ,,619-900,051)721-3965,051)722-6887,부산광역시 기장군 기장읍 대라리 4-10,1,http://www.haeundaelib.or.kr/
121018,부산광역시 금정도서관,,46213,051-519-5623,0515195609,부산광역시 금정구 금정도서관로 33,geumjeonglib@korea.kr,http://library.geumjeong.go.kr/
121019,부산광역시 남구도서관,,48442,051-607-8160,051)607-6569,부산광역시 남구 수영로267번길 61,leejihee91@korea.kr,library.bsnamgu.go.kr/
121020,부산광역시 강서도서관,,46720,051-970-3472,051-970-2909,부산광역시 강서구 공항로811번길 10,khj1592@korea.kr,
121021,부산광역시 동구도서관,,601-800,051-440-4711,051-440-4719,부산광역시 동구 성북로36번길 54 (범일동),k5741327@empal.com,
121022,부산광역시 반여도서관,,48025,051-783-4010,051-749-6089,부산광역시 해운대구 재반로282번길 38,kimjs789@korea.kr,www.banyeolib.or.kr/
121023,만덕도서관,,46612,051-309-4947,051-309-2099,부산광역시 북구 은행나무로 26,phj00925@korea.kr,https://www.bsbukgu.go.kr/mdlib/index.bsbukgu
121024,수영구도서관,,48317,051-610-4520,051-610-4519,부산광역시 수영구 남천서로 33,1111@hanma.net,http://library.suyeong.go.kr/
121025,부산광역시 사상도서관,,46938,051-310-7962,051-310-7973,부산광역시 사상구 덕상로72번길 9,leehs@ssg21.net,www.sasang.go.kr/library
121026,부산광역시 기장도서관,,46063,051-709-5332,051-724-3074,부산광역시 기장군 기장읍 차성동로126번길 13-5,chw701@korea.kr,
