LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
122001,대구2·28기념학생도서관,,41182,053-231-2842,,대구광역시 동구 아양로41길 56 (신암동),bsooy01@korea.kr,,,
122002,대구광역시립두류도서관,,42672,053-231-2700,053)656-4061,대구광역시 달서구 공원순환로 8,-,https://library.daegu.go.kr/duryu/index.do,35.8498236,128.5623521
122003,대구광역시립북부도서관,,41590,053-231-2613,053-355-1506,대구광역시 북구 옥산로 75,bukbulib@gmail.com,https://library.daegu.go.kr/bukbu/index.do,35.8840204,128.5871366
122004,대구광역시립중앙도서관,,41939,053-231-2000,053-256-9972,대구광역시 중구 공평로10길 25,tglnetlib@edunavi.kr,www.tglnet.or.kr,35.868437650000004,128.6016749759071
122005,대구광역시립중앙도서관달성분관,,700-380,053)561-1248,,대구광역시 중구 달성동 209-9,,http://www.tglnet.or.kr/,,
122006,대구광역시립동부도서관신천분관,,701-832,053)425-7922,,대구광역시 동구 신천1동 685-8번지,,http://www.dongbu-lib.daegu.kr/,,
122007,대구광역시립수성도서관,,42037,053-231-2530,053-231-2529,대구광역시 수성구 만촌로 151,-,,35.87203605,128.6391579427521
122008,대구광역시립서부도서관,,41777,053-231-2437,053)561-1441,대구광역시 서구 국채보상로49길 12,namlim@korea.kr,http://library.daegu.go.kr/seobu/index.do,35.8716802,128.5573627
122009,대구광역시립남부도서관,,42501,053-231-2339,053)231-2325,대구광역시 남구 앞산순환로 512,"whitekiz@korea,kr",,35.8331264,128.5850303
122010,대구광역시립동부도서관,,41192,053-231-2200,053)941-8076,대구광역시 동구 신암북로11길 54,sugar66@korea.kr,https://library.daegu.go.kr/dongbu,35.8897001,128.6212699
122011,대구광역시립달성도서관,,42998,053-231-2150,053)615-7975,대구광역시 달성군 현풍읍 현풍동로19길 26,-,https://library.daegu.go.kr/dalseong/index.do,35.6983538,128.4494038
122012,새벗도서관,,704-372,053)582-4784,053)588-9100,대구광역시 달서구 상인2동 319-6번지 정우빌딩 9층,saebut21@hanmail.net,http://www.korsa.or.kr/asp/saebut/,,
122013,대구학생문화센터,,704-923,053)231-1344,053)562-8783,대구광역시 달서구 용산로 181,dcccs@edunavi.kr,http://www.dccs.go.kr,35.848186,128.530687
