LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
126001,대우도서실,,46278,051-517-1577,051-517-1173,"부산광역시 금정구 부산대학로 10, 관리사무소동1층, 대우도서실 (부곡동, 대우아파트)",ms5756049@hanmail.net,,,
126002,좌1동새마을작은도서관,,612-842,051-703-3058,051-749-5859,부산시 해운대구 좌1동 1458-2,wisdom1@haeundae.go.kr,,35.17385925,129.17564967139072
126003,좌4동새마을문고,,612-843,051-749-5881,051-749-5888,부산 해운대구 좌4동 1407-6,leenhan@haeundae.go.kr,,35.190560250000004,129.17267041397642
126004,좌3동새마을문고,,612-030,051-749-5871,051-749-5878,부산 해운대구 좌동 1341-3,gja311@hanmail.net,,35.1781799,129.1759973
126005,좌2동새마을문고,,612-030,051-702-2203,051-749-5868,부산 해운대구 좌동 1327-2번지 3층,wonlee63@hanmail.net,,,
126006,반여4동주민자치센터도서실,,612-064,051-749-5931,051-749-5939,부산 해운대구 반여4동 1122번지,heehan98@yahoo.co.kr,,,
126007,반여2동새마을문고,,612-061,051-782-6673,051-749-5919,부산 해운대구 반여동1291-836,asm586@haeundae.go.kr,http://banyeo2.jumin.busan.kr/,,
126008,부산광역시 재송어린이도서관,,48048,051-749-7631,051-749-7639,부산광역시 해운대구 해운대로76번길 35-1,jschildlib@hanamil.net,jschildlib.haeundae.go.kr,35.1899886,129.1182932
126009,반여1동새마을문고,,48038,051-749-6334,,"부산광역시 해운대구 선수촌로 99-7, 3층 (반여동)",girljean@korea.kr,,,
126010,부산서구문화원작은도서관,,602-701,051-231-4085,051-256-4085,부산 서구 까치고개로 197번길 46(서구 아미동2가 20-2번지),mhseogu@hanmail.net,http://www.seogu.busan.kr/,,
126011,아이책세상 작은어린이도서관,,607-838,051-554-8772,051-554-8773,부산 동래구 온천2동 407-36 필봉빌딩 2층,seheon@ibookworld.net,http://휴관,,
126012,재송1동 새마을문고,,612-051,051-749-5971,051-749-5977,부산 해운대구 재송1동 274-2,kimhyeonseok@hanmail.net,http://jumin.busan.kr/,35.1832349,129.127665151769
