LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
129001,신가도서관,,506-808,062-960-8290,062-960-8307,광주광역시 광산구 신가로40번길 24 (신가동),hhj8879@hanmail.net,http://www.lib.gwangsan.go.kr,,
129002,첨단도서관,,62258,062-940-9861,062-974-0760,광주광역시 광산구 임방울대로 673-12,alway@korea.kr,lib.gwangsan.go.kr,35.21695915,126.83210795759797
129003,계림꿈나무도서관,,61422,062-608-2327,062-608-2349,광주광역시 동구 경양로247번길 26,smy8007@korea.kr,http://www.donggu.gwangju.kr,35.15856,126.9196632
129004,서구어린이생태학습도서관,,62048,062-350-4584,062-652-9247,광주광역시 서구 풍암공원로 8,webmaster@seogumail.net,lib.seogu.gwangju.kr,35.129693450000005,126.88180778769842
129005,운남어린이도서관,,62317,062-940-8543,,광주광역시 광산구 목련로217번길 10,youl700@gwangsan.go.kr,lib.gwangsan.go.kr,35.1732343,126.8218626
129006,연제큰꿈작은도서관,,61078,062-575-5004,062-575-5003,"광주광역시 북구 양산제로 110, 관리동 2층 (연제동, 연제주공아파트)",5004ijoa@hanmail.net,http://cafe.daum.net/yeonjegreatvision,,
129007,이룸문고,,506-020,062-942-8209,062-942-8209,광주 광산구 도산동 1138-2 대덕상가 3층,manhyh@naver.com,http://www.seniorw.com/,,
129008,지원꿈꾸는작은도서관,,501-220,062-464-0631,062-236-0656,광주 동구 소태동 565-2번지,jiwon0631!hanmail.net,http:/cafe.daum.net/kjjiwon,,
129009,중흥사립문고,,500-874,2-524-0958,062-430-4646,광주 북구 중흥2동 301~359,sori6868@paran.com,,,
129010,문흥작은도서관,,61172,070-8804-2200,,광주광역시 북구 중문로 84번길 67 문흥작은도서관,kja5879@hanmail.net,http://www.i-nara.ro.to,,
129011,큰꿈도서관,,,02-354-1651,02-354-1651,서울 은평구 진관2로 57-37,jafirst@naver.com,http://bigdream/naver.com,37.6345689,126.9189247
129012,백암문고,,501-829,062-227-9421,062-673-3893,광주 동구 소태동 700,baekam5@hanmail.net,,35.1155766,126.9348806
129013,향기작은도서관,,502-804,062-431-1517,062-431-1517,광주 서구 금호동 735-18번지,ssj3505@hanmail.net,,,
129014,사직문고,,503-230,062-368-8656,062-367-8656,광주 남구 월산동 37-4,yj5732206@hanmail.net,,35.1295137,126.9263229
129015,메트로열린도서관,,501-841,062-604-8477,062-225-7730,광주 동구 학동 994번지,ykl5204@naver.com,http://gjtc.kr/,,
129016,아이숲어린이도서관,,62058,062-652-1279,,"광주광역시 서구 풍암2로 2, 4층 (풍암동) 롯데슈퍼센터4층",moon-33@hanmail.net,http://cafe.daum.net/totolibrary/,,
129017,행복한 작은문고,,501-080,062-223-3164,062-223-3164,광주 동구 계림2동 519-5번지,jumis33@naver.com,,,
129018,송광나눔드리작은도서관,,506-753,062-941-8248,062-942-5607,광주 광산구 우산동 시영2단지아파트 1603-1 송광종합사회복지관,sg-welfare@hanmail.net,http://www.gjw.or.kr/songgwang,,
129019,책돌이도서관,,500-132,062-266-7279,,광주 북구 오치2동 869-17 (2층),cl7279@hanmail.net,http://cafe.daum.net/266-7279,,
129020,문흥골작은도서관,,500-111,062-262-6833,062-268-7827,광주 북구 문흥1동 980-5번지,p54@hanmail.net,,,
129021,문고 사랑하는사람들,,503-230,062-351-1491,062-351-1493,광주 남구 월산동 1034-2,dlwlss@naver.com,,,
129022,광주아름다운작은도서관,,500-132,062-266-9004,062-266-9004,광주 북구 오치2동 767-4,kkj6422@naver.com,,,
129023,글마루도서관(광주),,506-745,062-960-8536,062-444-0400,광주 광산구 신창동 1111번지,iso3950@korea.kr,,,
129024,꿈나무도서관,,506-306,062-960-8536,062-960-8289,광주 광산구 신창동 1251-11,iso3950@korea.kr,,35.1819743,126.83480952023737
129025,샘솟는작은도서관,,506-901,062-960-8536,062-960-8289,광주 광산구 신가동 975-9,iso3950@korea.kr,,35.1821235,126.8276537
129026,본량동 작은도서관,,506-400,062-960-8536,062-960-8289,광주 광산구 남산동 698-20,iso3950@korea.kr,,,
129027,운남삼성작은도서관,,506-755,062-960-8536,062-960-8289,광주 광산구 운남동 삼성아파트 387-22,iso3950@korea.kr,,,
