LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
130001,신성작은도서관,,305-358,042-861--2985,,대전 유성구 하기동18-6,ym5675@hanmail.net,http://cafe.daum.net/libraryteam,,
130002,국립중앙과학관 도서관,,305-705,042-601-7975,042-601-7996,대전 유성구 구성동 국립중앙과학관 32-2,webadmin@nsm.ho.kr,http://www.science.go.kr,,
130003,성남작은도서관,,34581,042-259-7091,042-636-7157,대전광역시 동구 성남로 38-5,m9826015@nate.com,seongnamlib.donggu.go.kr,36.3404773,127.4279083
130004,대전광역시동구판암도서관,,34676,042-252-7072,,대전광역시 동구 옥천로180번길 20,parkseo2@hanmail.net,lib.donggu.go.kr,36.3156785,127.461893
130005,진잠도서관(유성도서관 분관),,305-808,042)863-4184 042)542-3117,042-862-5934,대전광역시 유성구 원내동 83,yuseonglib@metro.daejeon.kr,http://jinjamlib.yuseong.go.kr/,,
130006,대전광역시 서구 둔산도서관,,35205,042-288-4808,042-288-5938,"대전광역시 서구 청사로 263, 둔산도서관 (둔산동)",hsw0917@korea.kr,www.seogu.go.kr/learning/dunsanlib/index.do,,
130007,대전서구어린이도서관,,35395,042-288-4830,042-288-5939,대전광역시 서구 정림동로 25,generalkim@daum.net,http://www.childlib.or.kr,36.3047817,127.3675929
130008,자양도서관,,34645,042-623-3313,042-250-1670,대전 동구 자양동 60-1,booklove@korea.kr,lib.donggu.go.kr,36.3366812,127.4490374
130009,홍도도서관,,34554,042-259-7571,042-224-6190,"대전광역시 동구 동산초교로 34번길 56, 3~4층 홍도도서관",tnwls3190@korea.kr,,,
130010,진잠도서관,,34227,042-601-6590,042-611-2799,대전광역시 유성구 진잠로160번길 19,beanpole82@korea.kr,lib.yuseong.go.kr/,36.3018774,127.3199068
130011,모퉁이 어린이도서관,,305-810,042-861-6296,,대전 유성구 전민동 390-8,booksforkid@naver.com,,36.4029963,127.3988499
130012,노은도서관,,34078,042-601-6510,042-611-2665,대전광역시 유성구 노은동로234번길 34,ysl8987@hanmail.net,http://lib.yuseong.go.kr,36.3818042,127.3203581
130013,송촌도서관,,34423,042-608-5513,042-608-5899,대전광역시 대덕구 송촌로 59,sinch0717@korea.kr,http://lib.daedeok.go.kr/,36.3594856,127.4407
130014,광제사(도서실),,300-830,042-627-8600,,대전 동구 자양동 89-9 광제사,jonjur@hanmail.net,,,
130015,복된꿈이 있는 도서관,,302-823,042-534-9106,042-534-1507,대전 서구 도마2동 153-18,p3love@empal.com,,36.32027465,127.36537961337218
130016,열방마을도서관,,302-190,042-528-1197,042-523-1197,대전 서구 변동 70-38,kslee1210@nate.com,,36.3265707,127.379636
130017,쁘레네 작은도서관 별찌 8호,,305-308,042-934-3850,042-934-3010,대전 유성구 장대동 337-4 신화빌딩 4층,74cjy@hanmail.net,http://cafe.naver.com/frenelib,,
130018,송촌마을도서관,,34423,042-623-1691,042-622-3118,대전광역시 대덕구 계족산로36번길 80 (송촌동),peter21c99@hotmail.com,없음,,
130020,선비마을2단지 문고,,306-776,042-635-1898,042-635-5538,대전 대덕구 송촌동 선비마을2단지아파트 (201~211동),Bibiand35@naver.com,,,
130021,용전작은도서관,,306-826,042-625-7220,042-625-7225,대전 대덕구 게족로 505번길 85,eunkyung3115@naver.com,http:yongjeon.or.kr,,
130022,구암도서관,,34182,042-601-6615,042-611-2733,대전광역시 유성구 유성대로626번길 57,megadyne77@korea.kr,http://lib.yuseong.go.kr,36.3498445,127.3282371
130023,관평도서관,,34019,042-716-0350,042-716-0359,대전광역시 유성구 테크노4로 131,libinfo@cnu.ac.kr,www.gplib.or.kr,36.42320555,127.38840332786182
130024,문창동마을문고ⓧ,,35029,042-272-4406,,대전광역시 중구 보문로20번길 38 문창동 주민센터,cho2406@korea.kr,,,
130026,원신흥도서관,,34194,042-601-6617,042-611-2876,대전광역시 유성구 원신흥남로 59,megadyne77@korea.kr,,36.3323031,127.3381605
130028,월평도서관,,35227,042-288-4877,--,대전광역시 서구 한밭대로 664,sfl022@korea.kr,,36.3577505,127.3936521
130029,아가랑도서관,,34066,042-601-6567,042-611-2876,"대전광역시 유성구 반석로 78, 아가랑도서관 (반석동)",nhyoon@korea.kr,http://lib.yuseong.go.kr/,,
