LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
131001,농소1동도서관,,44227,052-241-7430,052-241-7439,울산광역시 북구 동대15길 27,aqua1007@naver.com,https://usbl.bukgu.ulsan.kr/
131002,울산북구기적의도서관,,683-809,052)286-9004,,울산광역시 북구 중산동 570-2,p5913@hanmail.net,http://www.usbl.or.kr
131003,농소3동도서관,,44204,052-241-7440,052-241-7449,"울산광역시 북구 아진1로 47, 농소3동도서관 (천곡동)",wendy78@empal.com,http://usbl.bukgu.ulsan.kr
131004,울주옹기종기도서관,,44973,052-239-7413,052-204-1239,울산광역시 울주군 온양읍 온양로 38-1,jhlee37@korea.kr,uljulib.ulju.ulsan.kr/
131005,울산 북구 중앙도서관,,44244,052-241-7414,052-241-7409,울산광역시 북구 두부곡1길 9,puslem@korea.kr,https://usbl.bukgu.ulsan.kr/
131006,범서 은행나무 작은도서관ⓧ,,689-852,052-229-7553,,울산 울주군 범서읍 구영리 구영복지회관,nov29sy@korea.kr,
131007,청량 늘푸름 작은도서관,,689-863,052-229-7553,,울산 울주군 청량면 상남리 청량면사무소,nov29sy@kore.kr,
131008,온산 동백 작은도서관,,689-893,052-229-7553,,울산 울주군 온산읍 덕신리 문화의집,nov29sy@korea.kr,
131009,온양 어울림 작은도서관,,689-752,052-239-8677,,울산 울주군 온양읍 대안리 대우아파트 관리사무소 2층,kmyoung22@korea.com,
131010,삼남 봉화 작은도서관,,689-812,052-263-7516,,울산 울주군 삼남면 교동리 교동주공아파트,nov29sy@korea.kr,
131011,서생 해오름 작은도서관,,689-882,052-229-7553,,울산 울주군 서생면 신암리 서생면사무소,nov29sy@korea.kr,
131012,두서면 작은도서관,,689-833,052-229-7553,,울산 울주군 두서면 인보리 두서면사무소,nov29sy@korea.kr,
131013,상북면 작은도서관,,689-821,052-229-7553,,울산 울주군 상북면 산전리 상북면사무소,nov29sy@korea.kr,
131014,울주문화예술회관 자료실ⓧ,,680-708,052-229-7635,052-229-7639,울산광역시 울주군 범서읍 천상리 376-1,anne916@ulsan21.net,http://www.uljuart.or.kr/
131015,월봉도서관,,680-010,052-268-5471,052-268-5472,울산 남구 신정동 162-3,bjs7210@korea.kr,
131016,남목작은도서관,,682-807,052-209-3491,052-209-3209,울산 동구 서부동 522-1,sd901@ulsan21.net,http://www.donggu.ulsan.kr/kor/dong/nammok1/#
131017,도산도서관,,680-837,052-226-5710,052-226-3697,울산 남구 야음동 576-10,bjs7210@korea.kr,http://dosanlib.ulsannamgu.go.kr
131018,한누리 작은도서관ⓧ,,669-812,052-229-7553,052-229-7069,울산 울주군 삼남면 교동리 282 청소년수련관 2층,nov29sy@korea.kr,
131019,염포양정도서관,,44262,052-241-7452,052-241-7459,울산광역시 북구 염포로 685-1,ksm1979@korea.kr,https://usbl.bukgu.ulsan.kr/index.do
131020,책사랑작은도서관(울산),,683-770,052-935-1379,052-282-2999,울산 북구 천곡동 대동아파트 940-6 관리동 2층,kujs0918@naver.com,
131021,전하작은도서관,,682-060,052-209-3492,052-209-3209,울산 동구 전하동 652-4,kpioneer@ulsan21.net,
131022,화정작은도서관,,682-090,052-209-3950,052-209-3949,울산 동구 화정동 857-1(화정주민센터 내),mogae2@korea.kr,
131023,웅촌도서관,,680-708,052-229-7553,052-229-7069,울산 남구 옥동 울주군청,nov29sy@korea.kr,
131024,삼동 느티나무 도서관,,680-708,052-229-7553,052-229-7069,울산 남구 옥동 울주군청,nov29sy@korea.kr,
131025,책가방도서관,,683-500,"052-967-8008, 010-9040-9546",,울산 북구 천곡동 쌍용아진 403동405호,etsg301@hanmail.net,
131026,정자작은도서관,,683-210,052-298-0191,052-295-9282,울산 북구 정자동 136,jkisea@hanmail.net,
131027,책놀이터,,683-751,052-282-6630,,울산 북구 상안동 쌍용아진아파트1차단지 1-15 관리사무소 지하,dhkdql510@hanmail.net,
131028,꽃바위작은도서관,,682-806,052-209-3493,052-209-3209,울산 동구 방어동 1120-1번지,sinchoon0715@korea.kr,
131029,푸른작은도서관,,683-778,052-282-3814,052-903-6550,울산 북구 매곡동 매곡푸르지오1차아파트 관리동2층,ksh160@yahoo.co.kr,
131030,매곡현대문화공간,,683-420,052-282-2100,052-298-9936,울산 북구 매곡동 532 현대아파트 관리사무소 건물,mj9759@nate.com,
131031,아름드리 작은도서관(울산),,44219,070-4415-1212,052-295-5569,"울산광역시 북구 신기3길 19-6 관리동2층(매곡동, 현대파크맨션)",angela_kim@naver.com,cafe.naver.com/hdparkbook
131032,우리들작은도서관,,683-500,052-282-0691,052-282-0693,울산 북구 천곡동527번지,w2820691@naver.com,
131033,염포마을문고 나무아래,,683-806,052-288-6006,,울산 북구 염포동195-1번지 3층,울산 북구 염포동195-1번지 3층,
131034,월드시티 1작은도서관,,683-420,010-3067-5172,,울산 북구 매곡동 330-2 월드메르디앙 월드시티 1단지,sgpark58@naver.com,
131035,월드시티 2 작은도서관,,683-420,052-294-5533,,울산 북구 매곡동 330-2 월드메르디앙 월드시티 2단지,hjc2025@hanmail.net,없음
131036,책누리 작은도서관(울산 양정동),,683-380,052-289-5590,052-289-5596,울산 북구 양정동 500-33번지 양정힐스테이트 관리사무소2층,captin1004@nate.com,
131037,다울림작은도서관,,683-500,052-286-6022,,울산 북구 천곡동 벽산블루밍 107동B2,thwlgus0014@hanmail.net,
131038,구영2차푸르지오 작은도서관ⓧ,,689-761,010-7336-8705,052-248-5400,울산 울주군 범서읍 구영리 구영2차푸르지오아파트 관리동,step82step@hanmail.net,
131039,열린어린이문고,,683-813,052-282-3282,,울산 북구 호계동 732-1,jabez2030@naver.com,
131040,양정힐스테이트2차문고,,683-380,052-289-3235,052-900-6866,울산 북구 양정동 802번지,hikang@hanmail.net,
131041,책마루작은도서관(울산),,683-794,010-9909-3139,052-281-7726,울산 북구 달천동 달천아이파크2차아파트 3단지 복리동 책마루 도서관,marposs@empal.com,
131042,대우문화공간,,683-757,052-287-5088,052-287-5098,울산 북구 화봉동 대우아파트 관리동 1층,ohs288@hanmail.net,
131043,꿈꾸는 작은도서관(울산 북구),,683-751,052-282-0604,052-282-0604,울산 북구 상안동 쌍용아진아파트2차단지 381-1,203505ajn@hanmail.net,
131044,LG 문화공간,,683-767,052-289-7800,,울산 북구 연암동 엘지진로아파트 관리동 1층,leeaaff@paran.com,
131045,책의숲,,681-310,052-246-0015,052-234-4886,울산 중구 유곡동 유곡e편한세상 문고,울산 중구 유곡동 유곡e편한세상 문고,
131046,꿈이자라는책마을(작은도서관),,681-825,052-242-1170,052-243-2129,울산 중구 복산1동 396~472,onyoue@hanmail.net,
131047,남외푸르지오문고,,681-716,052-281-0300,052-293-0115,울산 중구 남외동 대우푸르지오1차아파트 101-111,doolysso1@hanmail.net,
131048,꿈틀꿈틀 작은도서관,,681-803,052-267-3191,,울산 중구 다운동 533-12 1층,rudgp23@nate.com,
131049,세린작은도서관,,681-803,070-7123-0210,052-223-0697,울산 중구 다운동 519-10 5층,ksjkitty1023@hanmail.net,www.srl.or.kr
131050,에일린의 뜰 문고,,681-721,010-3671-6482,052-282-9307,울산 중구 남외동 에일린의뜰아파트 관리동 2층,kojunyoung@hanmail.net,
131051,매곡휴먼시아문고,,683-420,052-292-9270,,울산 북구 매곡동 857번지 휴먼시아 아파트,asdfg0980@hanmail.net,
131052,어깨동무도서관,,681-280,052-295-0815,052-292-8150,울산 중구 동동696번지,wndhr72@hanmail.net,
