LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
143001,괴산교육도서관,,28029,043)833-0319,043)833-3221,충청북도 괴산군 괴산읍 읍내로12길 38,gslibrary@cbe.go.kr,http://www.gsl.go.kr/,36.8099197,127.7942263
143002,단양교육도서관,,27013,043-423-1095,043-423-2087,충청북도 단양군 단양읍 상진12길 18,yunjongho@cbe.go.kr,http://www.dylib.go.kr/,36.9796788,128.35669206307233
143003,보은교육도서관,,28947,043)542-5473,043)543-2274,충청북도 보은군 보은읍 삼산로 56-10,boun5473@cbe.go.kr,http://www.boeunlib.or.kr,36.483982,127.7190253
143004,영동교육도서관,,29149,043)744-5755,043)744-5756,충청북도 영동군 영동읍 학산영동로 1220,jw0224@cbe.go.kr,www.ydlib.go.kr/,36.1497622,127.7492641
143005,옥천교육도서관,,373-807,043)731-7051,043)731-7053,충북 옥천군 옥천읍 관성로 3길-7번지,assa0510@cbe.go.kr,http://www.ocelib.go.kr/,,
143006,음성교육도서관,,27697,043)873-2977,043)872-1403,충청북도 음성군 음성읍 시장로126번길 29,-,,36.9386253,127.6923367
143007,제천학생회관,,27154,043)647-8588,043)646-8588,충청북도 제천시 청전대로1길 7,ls030211@cbe.go.kr,www.jcsh.go.kr/,37.1467096,128.202158
143008,중원교육도서관,,27462,043-846-0629,043)852-2287,충청북도 충주시 주덕읍 창전길 221,-,www.jwlib.go.kr/,,
143009,진천교육도서관,,27832,043-533-4404,043-534-4510,충청북도 진천군 진천읍 상산1길 11,jinlib@korea.kr,http://www.jcelib.go.kr,,
143010,미원교육도서관,,28199,043)297-1525,043)297-3832,충청북도 청주시 상당구 미원면 단재로 2494-1,cwlib1525@cbe.go.kr,www.cwlib.go.kr/,36.649805,127.6759626
143011,충주시립도서관,,27378,0438503971,0438459833,충청북도 충주시 예성로 207,,,36.975300149999995,127.9343129579024
143012,충청북도중원교육문화원,,27480,043-848-2266,043-844-9063,충청북도 충주시 호암대로 50 (호암동),ract59@korea.kr,www.jwec.go.kr/,,
143013,충청북도교육도서관,,28653,043-276-8308,043-276-4591,충청북도 청주시 서원구 충렬로 19 (사직동),sy0912@korea.kr,www.cbelib.go.kr/,,
143014,충청북도교육문화원,,360-020,043-229-2637,043-218-8428,충북 상당구 주중동 511-9 (청주시 상당구 공황로 287번길 56),ggzz04@hanmail.net,,,
143015,제천시립도서관,,27167,043)646-2019,043)640-5876,충청북도 제천시 내제로 318,-,www.jclib.or.kr/,37.145174,128.220115
143016,증평교육도서관,,27935,043)836-9477,043)836-7868,충청북도 증평군 증평읍 광장로 154,nakkamci@cbe.go.kr,www.jplib.go.kr/,36.7857785,127.5819862
143017,금왕교육도서관,,27635,043)877-8761,043)877-8769,충청북도 음성군 금왕읍 응천서길27번길 33,-,http://www.gwelib.go.kr,36.9905136,127.5930586
143018,제천시립여성도서관,,390-012,043)646-6561,043)640-4430,충북 제천시 중앙로 2가 29-1,,,,
143019,매포도서관,,395-900,043)422-1937,043)422-1937,충북 단양군 매포읍 평동리 1317,,,,
143020,청주옥산도서관,,363-910,043)260-4948,043)260-4948,충청북도 청주시 옥산면 오산5길 10,,,36.6659186,127.36959
143021,제천시립봉양도서관,,390-875,043)646-2018,043)646-2018,충북 제천시 봉양읍 주포리 210-11,,,,
143022,청주시립도서관,,380-700,043-201-4073,043-201-4089,충북 청주시 상당구 단재로 393,swulis@korea.kr,http://library.cheongju.go.kr/lib-cj/index.do,36.593789,127.5057817
143023,청주기적의도서관,,28690,043)283-1845,043)283-1847,"충청북도 청주시 서원구 구룡산로 356, (수곡동)",2831845@naver.com,library.cheongju.go.kr/lib-ml/index.do,,
143024,음성대소도서관,,27668,043-871-3063,043-871-3059,충청북도 음성군 대소면 오태로 80-14,pridb6562@hanmail.net,lib.eumseong.go.kr,36.9661062,127.4906322
143025,제천기적의도서관,,27148,043-644-1215,043-644-1301,충청북도 제천시 용두천로38길 30,isori69@naver.com,www.kidslib.org/,37.1551357,128.2193009
143026,호암도서관,,380-967,043-850-3279,043-850-3978,충북 충주시 호암동 562,cjlib@hanmail.net,http://www.cjdl.net,,
143027,청주청원도서관,,360-784,043-201-4122,043-201-4139,충북 청주시 청원구 사뜸로61번길 88-14,jgs-0321@hanmail.net,http://library.cheongju.go.kr/lib-cw/index.do,36.6668392,127.4784773
143028,청주흥덕도서관,,361-815,043-201-4202,043-201-4219,충북 청주시 흥덕구 증안로 90번길 34,eslin7264@hanmail.net,library.cheongju.go.kr,,
143029,청주신율봉어린이도서관,,361-812,043-201-4222,043-201-4229,충북 청주시 흥덕구 신율로 153번길 16,sonsuna@cjcity.net,library.cheongju.go.kr,,
143030,꽃다지도서관(청구),,27162,016-337-8395,043-644-1187,"충청북도 제천시 용두대로15길 47, 청구아파트 관리사무소 내(지하) (하소동, 청구아파트)",philokk@empal.com,http://-,,
143031,보물창고(덕일한마음),,390-762,010-2920-9836,043-646-2054,충북 제천시 신백동 덕일한마음1차아파트 관리사무소내(지하),soanmu64@yahoo.co.kr,,,
143032,라온도서관(그린코아루),,27187,043-641-4277,043-652-7870,"충청북도 제천시 용두대로7길 25, 관리사무소 1층",tns9105@naver.com,http://-,,
143033,둥둥도서관,,361-804,043-274-2030,,충북 청주시 흥덕구 개신동 10번지 삼익@ A동 2층 203호,supernalda@naver.com,,,
143034,고맙습니다드림 작은도서관,,360-130,043-224-0877,043-222-9172,충북 청주시 상당구 서문동 198-3,cjsw2007@hanmail.net,,,
143035,안남배바우작은도서관,,373-821,043-732-5600,043-732-5600,충북 옥천군 안남면 청정리 211-2,sosohanso9@naver.com,http://cafe.daum.net/annambaebau,,
143036,황금박쥐도서관 (작은도서관),,380-010,043-852-6117,043-852-6117,충북 충주시 성내동 465번지,sun5746@hanmail.net,,,
143037,늘푸른문고 (작은도서관),,380-962,043-844-9203,043-844-9203,충북 충주시 연수동 658-5,kyrok120@hanmail.net,,36.984842,127.9401508
143038,장락꿈나무도서관 (작은도서관),,390-754,010-2301-5312,,충북 제천시 장락동 주공아파트3단지 301-306,lib2511@korea.kr,,,
