LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
144001,충청남도공주교육지원청공주도서관,,32563,041-855-7121,041-855-7122,충청남도 공주시 영명학당2길 24-5,kj-lib@cne.go.kr,https://gjlib.cne.go.kr/
144002,충청남도공주교육지원청유구도서관,,32506,041)841-1196,041)841-4945,충청남도 공주시 유구읍 중앙1길 49-17,-,https://yglib.cne.go.kr/
144003,충청남도금산교육지원청금산도서관,,32746,041)753-4710,041)753-9864,충청남도 금산군 금산읍 금산천길 28,ncdr@naver.com,https://kslib.cne.go.kr
144004,충청남도교육청남부평생교육원,,32954,041-730-7733,041-730-7739,충청남도 논산시 부창로 71,economy523@cne.go.kr,https://cnbl.cne.go.kr/index.do
144005,충청남도당진교육지원청당진도서관,,31784,041)352-5918,041)355-7591,충청남도 당진시 서부로 266,dj-lib@cnoe.or.kr,https://djlib.cne.go.kr/
144006,충청남도보령교육지원청보령도서관,,33475,041-934-0929,041-931-0929,충청남도 보령시 보령남로 27,pr-lib@cnoe.or.kr,https://brlib.cne.go.kr
144007,충청남도보령교육지원청웅천도서관,,33522,041)934-1789,041)933-0788,충청남도 보령시 웅천읍 방축길 90-39,uc-lib@cne.go.kr,https://uclib.cne.go.kr
144008,충청남도부여교육지원청부여도서관,,323-808,041)835-2509,041)834-7443,충남 부여군 부여읍 성왕로 259번지,py-lib@cnoe.or.kr,https://bylib.cne.go.kr/
144009,충청남도교육청서부평생교육원,,32003,041-661-8330,041-667-5243,충청남도 서산시 동서1로 41-4,zenio27@cne.go.kr,https://csbl.cne.go.kr/
144010,충청남도서천교육지원청서천도서관,,33645,041-953-1518,041-951-7493,충청남도 서천군 서천읍 서천로14번길 10,sc-lib@cne.go.kr,
144011,세종특별자치시평생교육학습관,,30020,044-410-1433,044-862-3091,세종특별자치시  조치원읍 문화2길 25,yoonhyosun@korea.kr,http://www.sjle.go.kr
144012,충청남도예산교육지원청예산도서관,,32441,041)335-2638,041)334-5272,충청남도 예산군 예산읍 예중길 42,-,https://yslib.cne.go.kr
144013,충청남도아산교육지원청아산도서관,,31503,0415411022,0415331020,"충청남도 아산시 문화로 53, 아산도서관",ch5110@cne.go.kr,
144014,공주시 웅진도서관,,314-020,041-840-2205,041-840-2359,충남 공주시 고마나루길 17,ljj367@korea.kr,http://www.gongjulib.go.kr/
144015,충청남도학생교육문화원,,31127,0419046838,0419046830,충청남도 천안시 동남구 옛농고1길 41 (원성동),djik6@cne.go.kr,https://chsl.cne.go.kr/
144016,천안시중앙도서관,,31127,041-521-3779,041-521-3729,충청남도 천안시 동남구 중앙로 118,ok4092@hanmail.net,www.cheonan.go.kr/lib.do
144017,충청남도청양교육지원청청양도서관,,33329,0419434147,0419436396,충청남도 청양군 청양읍 칠갑산로1길 15,cy-lib@cne.go.kr,https://cylib.cne.go.kr/
144018,충청남도태안교육지원청태안도서관,,32142,041-674-1369,041-672-6771,충청남도 태안군 태안읍 원이로 20,keunji1@korea.kr,
144019,충청남도홍성교육지원청홍성도서관,,32231,041-632-2860,041-634-9915,충청남도 홍성군 홍성읍 충절로 1050,hs-lib@cnoe.or.kr,https://hslib.cne.go.kr/
144020,충청남도서산교육지원청해미도서관,,31960,0416880351,0416882813,충청남도 서산시 해미면 서문4길 12,sh-lib@cne.go.kr,https://hmlib.cne.go.kr
144021,충청남도천안교육지원청성환도서관,,31017,0415819962,0415824955,충청남도 천안시 서북구 성환읍 신선동길 25,csh-lib@cnoe.or.kr,https://shlib.cne.go.kr/
144022,논산강경도서관,,320-901,041-746-8980,041-746-8989,충남 논산시 강경읍 계백로 173,111,http://lib.nonsan.go.kr/lib.do
144023,당진시립합덕도서관,,31811,041)362-4192,041)362-4192,충청남도 당진시 합덕읍 면천로 1578-1,,http://www.dangjin.go.kr/lib.do
144024,아산시 둔포도서관,,31405,041)540-2566,041)532-2466,충청남도 아산시 둔포면 둔포중앙로161번길 27-6,,
144025,서산시립도서관,,31970,041-660-2588,041-662-3368,충청남도 서산시 부춘공원2로 26,libjhpark@naver.com,http://www.smlib.or.kr
144026,장항공공도서관,,33670,041-956-5016,,"충청남도 서천군 장항읍 장마로74번길 8, 장항공공도서관",janghang2014@daum.net,http://www.jhlib.kr/
144027,옹달샘도서관,,31551,041-541-2020,041-543-1331,충청남도 아산시 도고면 도고면로110번길 16,asw.2030@hanmail.net,http://www.asw2020.com
144028,보령시중앙도서관,,33438,041-930-3320,041-936-2428,충청남도 보령시 천변북길 121,choming6@korea.kr,library.brcn.go.kr
144029,삽교공공도서관,,340-900,041)37-5804,,충남 예산군 삽교읍 두리별길 34,,http://www.sglib.go.kr/
144030,태안안면도서관,,357-960,041-67-2575,041-673-8132,충남 태안군 안면읍 장터로 99-15번지,susia332@korea.kr,http://www.anmyeon-lib.or.kr/
144031,논산연무도서관,,320-838,041)742-6533,041)742-6533,충남 논산시 연무읍 안심로 47번길 6-11,111,http://www.nyl.go.kr/
144032,서산시립 대산도서관,,31909,041-661-8087,041)681-8912,충청남도 서산시 대산읍 대산1로 78-22,jhne91@korea.kr,www.seosan.go.kr/citylib/index.do
