LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
145001,전라북도교육청고창도서관,,585-801,063-563-2720,063-561-3600,전북 고창군 고창읍 천변북로 109,wateroil@jbedu.kr,https://lib.jbe.go.kr/gcplib
145002,군산시립도서관,,54090,063-450-4456,063-466-0367,전라북도 군산시 축동로 72,faly8318@korea.kr,http://lib.gunsan.go.kr
145003,김제공공도서관Ⓧ,,576-010,0658-44-1215,0658-44-1215,전북 김제시 요촌동 130-7,없어진 도서관임,
145004,남원교육문화회관,,55762,063-630-1243,063-636-9597,전라북도 남원시 용성로 49,namwon111@korea.kr,http://www.necc.go.kr
145005,명봉도서관,,580-920,063)534-8261,,전북 정읍시 태인면 태정리 220,,
145006,전라북도교육청무주도서관,,55519,063)322-4635,063)324-7211,전라북도 무주군 무주읍 향한로 37,kdh1104@jbedu.kr,http://www.mujulibrary.or.kr/
145007,부안교육문화회관,,56308,0635801322,0635801390,전라북도 부안군 부안읍 남문안길 10,bec@jbedu.kr,https://lib.jbe.go.kr/bec/index.do
145008,전라북도교육청순창도서관,,56034,063)652-0994,063)652-0024,전라북도 순창군 순창읍 장류로 379,eecw0919@jbedu.kr,
145009,군산교육문화회관 대야분관,,573-910,063)451-2669,063)451-2242,전북 군산시 대야면 산월리 549-3,,
145010,전라북도교육청완주도서관,,55326,063-262-2239,063-261-0401,전라북도 완주군 봉동읍 봉동동서로 109,talmogirl@jbedu.kr,
145011,남원교육문화회관운봉분관,,590-834,063)634-0716,063)634-0297,전북 남원시 운봉읍 서천리 48-1,,
145012,이리공공도서관ⓧ,,570-101,0653-855-3292,0653-855-0539,전북 익산시 남중동1가 237-9,,
145013,익산교육문화회관 함열분관,,570-800,063-861-1474,063)862-3458,전라북도 익산시 함열읍 함열중앙로 53,hamyeol1474@jbedu.kr,
145014,전라북도교육청임실도서관,,55926,0636433525,0636432949,전라북도 임실군 임실읍 봉황로 145,islib@jbedu.kr,https://lib.jbe.go.kr/islib/
145015,전라북도교육청장수도서관,,55630,063-351-5488,063-351-1811,전라북도 장수군 장수읍 호비로 58,maesil@jbedu.kr,jpl.or.kr
145016,전주교육문화회관,,54936,063-270-1643,063)270-1649,전라북도 전주시 덕진구 안덕원로 71,ks2677@cein.or.kr,www.jec.go.kr/
145017,전주시립완산도서관,,550-8,063-287-6417,288-7490,전라북도 전주시 완산구 곤지산4길 12,jjlib@korea.kr,lib.jeonju.go.kr/
145018,전주시립금암도서관,,54922,063)281-6442,063)252-5173,전라북도 전주시 덕진구 거북바우로 13 (금암동),hareaffair@korea.kr,http://lib.jeonju.go.kr/
145019,정읍학생복지회관,,56180,063)533-6528,063)533-5339,전라북도 정읍시 구미길 14-4,thepaper@jbedu.kr,
145020,정읍시립중앙도서관,,56190,0635396437,0635396540,"전라북도 정읍시 벚꽃로 511, 정읍시립중앙도서관 (상동)",ggamsi4835@korea.kr,cenlib.jeongeup.go.kr
145021,전라북도교육청진안도서관,,55426,063)433-2422,063)433-5830,전라북도 진안군 진안읍 대광길 4,-,
145022,김제교육문화회관 금산분관,,576-964,063)545-1670,063)544-3318,전북 김제시 금산면 성계리 683-5(원평로 97),,
145023,익산시립영등도서관,,54541,063-850-4963,063-831-1462,전라북도 익산시 궁동로 57,coolpes@hanmail.net,lib.iksan.go.kr
145024,익산시립마동도서관,,54627,063-722-3344~5,063-722-3349,전라북도 익산시 선화1로 99,eheh28@naver.com,lib.iksan.go.kr/
145025,완주군립 삼례도서관,,55333,0632902643,0632902640,전라북도 완주군 삼례읍 삼봉로 215-12,loo4mami@korea.kr,lib.wanju.go.kr
145026,김제시립도서관,,54392,063-540-4141,063-540-4144,전라북도 김제시 서낭당길 151 (요촌동),object00@korea.kr,http://www.gjl.gimje.go.kr
145027,장수군립공공도서관,,55612,063-351-1614,063-351-1614,전라북도 장수군 장계면 장계7길 15,glatpsdu@korea.kr,
145028,김제시립도서관 어린이도서방ⓧ,,54378,063-540-4110,,전라북도 김제시 요촌길 45 지평선어울림센터내,solisya@korea.kr,
145029,임피채만식도서관,,54056,063-450-6582,063)453-3311,전라북도 군산시 임피면 임피향교길 39,-,lib.gunsan.go.kr
145030,전주시립인후도서관,,561-829,063)281-6405,063)242-1271,전북 전주시 덕진구 안덕원길 349 (인후동1가 532-3),hareaffair@korea.kr,lib.jeonju.go.kr/
145031,부안군립도서관,,579-805,063-581-6571,063-581-6572,전라북도 부안군 부안읍 매창로 125,mrshin13@korea.kr,http://www.buanlibrary.or.kr/
145032,정읍시립도서관신태인분관,,580-901,063)571-3080,063)571-3080,전북 정읍시 신태인읍 신태인리 214-1,,http://jeongeuplib.or.kr/
145033,김제시립도서관만경분관,,570-860,063)540-3540,063)545-3000,전북 김제시 만경읍 만경리 536-2,,http://www.gjl.or.kr/
145034,익산교육문화회관,,54596,063-840-7232,063)840-7260,전라북도 익산시 고봉로 55 (마동),-,https://lib.jbe.go.kr/isec
145035,전주시립삼천도서관,,55083,063)225-2877,063)225-2878,전라북도 전주시 완산구 용리로 107 (삼천동1가),baegmr@jeonju.go.kr / syslib@hanmail.net,lib.jeonju.go.kr/
145036,군산교육문화회관,,573-885,063)450-3244,063)450-3234,전북 군산시 조촌 4길 46,gshall@hanmail.net,
145037,무주형설지공군립도서관,,55514,063-320-5621,063-320-5689,전북 무주군 무주읍 한풍루로 326-17 예체문화관,juang6485@korea.kr,http://library.muju.go.kr
145038,완주군립고산도서관,,55311,063-262-3880,063-262-3861,전라북도 완주군 고산면 고산로 69-13,-,lib.wanju.go.kr
145039,전주시립송천도서관,,561-820,063-278-9403,063-278-9404,전북 전주시 덕진구 솔내로 212번지(송천동2가 168-5),penna@daum.net,http://lib.jeonju.go.kr/
145040,임실군립오수도서관,,566-895,063-642-2574,063-640-2574,전북 임실군 오수면 오수리 387-1,911chae@hanmail.net,blog.naver.com/imsillib
145041,김제시립도서관금구분관,,54351,063)540-3678,063-540-3680,전라북도 김제시 금구면 양시7길 57,o2sun@hanmail.net,http://www.gjl.or.kr
145042,익산시립영등도서관,,570-982,063-850-4963,063-831-1462,전라북도 익산시 궁동로 57 (영등동),coolpes@hanmail.net,http://lib.iksan.go.kr
145043,구암작은도서관,,54043,063-450-4456,063-466-0367,전라북도 군산시 구암3.1로 245,ssc0721@empal.com,lib.gunsan.go.kr
145044,미성작은도서관,,54166,063-450-6175,,전라북도 군산시 동아로 11,ssc0721@empal.com,http://lib.gunsan.go.kr
145045,월명작은도서관,,54022,063-450-6175,,전라북도 군산시 구영7길 6,ssc0721@empal.com,lib.gunsan.go.kr
145046,구이모악작은도서관,,565-823,063-240-4638,063-291-5668,전라북도 완주군 구이면 구이로 1482 2층 구이모악작은도서관 <-전북 완주군 구이면 원기리 450번지,loo4mami@korea.kr,http://lib.wanju.go.kr
145047,정읍기적의도서관,,580-804,063-530-7168,063-537-3035,전북 정읍시 수성동 1014-1번지,yr21vic@hotmail.com,http://jeongeuplib.or.kr
145048,길보작은도서관,,576-020,063-545-1923,063-546-1228,전북 김제시 신풍동 613-3,gugi102@hanmail.net,http://www.kilbo.or.kr
145049,이서배꽃뜰작은도서관,,565-853,063-240-4630,063-240-4630,전라북도 완주군 이서면 이서로 55 이서주민자치센터 3층 배꽃뜰작은도서관<-전북 완주군 삼례읍 신금리 산71번지,"chiri313@hanmail.net, loo4mami@korea.kr",http://lib.wanju.go.kr
145050,남원시립도서관,,590-050,063-620-6158,063-625-5446,"전북 남원시 광한북로54(하정동 185-번지) 1,2층",dajilee@korea.kr,http://lib.namwon.go.kr/
145051,전주시립서신도서관,,54951,063-230-1812,063-230-1828,전라북도 전주시 완산구 서신천변14길 10 (서신동),kolim333@hotmail.com,lib.jeonju.go.kr
145052,고창군립도서관,,585-807,063-560-2323,063-562-1897,전북 고창군 고창읍 읍내리 188 고창군 군립도서관,ankyhee@gcmail.net,http://lib.gccl.kr
145053,흥남작은도서관,,573-749,063-450-4456,063-466-0367,전라북도 군산시 풍문2길 35번지,iami0723@korea.kr,http://lib.gunsan.go.kr
145054,미룡작은도서관,,573-748,063-450-4028,063-450-4278,전라북도 군산시 미룡로 42,iiiiy765@gunsan.go.kr,http://lib.gunsan.go.kr
145055,글마루작은도서관(고창),,585-803,063-564-2150,063-564-2166,전북 고창군 고창읍 석교리4-4,totobin1210@hanmail.net,http://www.happyhappy.or.kr/
145056,선운산 작은도서관,,585-931,063-560-2603,063-560-2633,전북 고창군 아산면 하갑리 190-2,ankyhee@gcmail.net,http://lib.gccl.kr
145057,북면작은도서관(정읍시),,580-814,063-537-3561,,전북 정읍시 북면 한교리,tngml0050@hanmail.net,
145058,상동작은도서관,,580-756,063-535-5845,,전북 정읍시 상동 우미타운아파트 관리동 2층,tngml0050@hanmail.net,
145059,능길작은도서관,,567-861,063-432-0367,063-432-0328,전북 진안군 동향면 능금리 605,gowonnongsan@hanmail.net,
145060,고수 해마루 작은도서관,,585-842,063-560-2420,063-561-1245,전북 고창군 고수면 황산리 308-13,ankyhee@gcmail.net,
145061,흰白구름雲작은도서관,,567-883,063-432-2260,063-432-2260,전북 진안군 백운면 임진로 1326-31,mjoo1009@hanmail.net,
145062,무지개 작은도서관(전주),,54848,063-212-3696,,전라북도 전주시 덕진구 덕용3길 7,beauty0121@hanmail.net,
145063,꿈드리 작은도서관,,560-722,063-225-7338,063-902-7338,전북 전주시 완산구 삼천동 남양아파트,smil0401@naver.com,http://cafe.daum.net/liblovejeonju
145064,호성작은도서관,,,063-245-9030,063-279-6951,전라북도 전주시 덕진구 동부대로 869 호성동주민센터3층,khss0208@naver.com,
145065,독우물작은도서관,,590-953,063-635-9702,,전북 남원시 금지면 옹정리 833-1번지,pym090516@naver.com,
145066,혼불작은도서관,,55702,063-634-9003,,"전라북도 남원시 사매면 오신1길 9-2, 혼불작은도서관",sook3590q@hanmail.net,
145067,꿈이있는나무 작은도서관,,54946,063-229-6511,063-229-2112,전라북도 전주시 완산구 새터로 122-11 M플러스빌딩4층 물댄동산,rebecaa@hanmail.net,
145068,나포작은도서관,,573-853,063-450-6575,063-466-0367,전라북도 군산시 나포면 교동2길 5,lh5408@gunsan.go.kr,http://lib.gunsan.go.kr
145069,장수청소년문화의집 작은도서관,,55634,063-351-3302,063-350-4431,"전라북도 장수군 장수읍 호비로 10, 장수작은도서관",docblues397@korea.kr,
145070,장계문예복지관 작은도서관ⓧ,,597-842,063-353-1150,063-350-2417,전북 장수군 장계면 장계리 862 (장계문예복지관 2층),ksd8910@korea.kr,
145071,마이작은도서관,,567-806,063-433-8478,063-433-3425,전북 진안군 진안읍 군하리 285-8,jujery@hanmail.net,http://www.mylib.or.kr
145072,상관기찻길작은도서관,,585-832,063-290-3524,063-281-3200,전라북도 완주군 상관면 신리로 49 상관주민자치센터 3층 기찻길작은도서관<-전북 완주군 상관면 신리 607번지 지큐빌시세대아파트 관리소 2층,"chiri313@wanju.go.kr, loo4mami@korea.kr",http://lib.wanju.go.kr
145073,책마루작은도서관,,54837,063-252-1612,063-253-1612,전라북도 전주시 덕진구 솔내2길 21 책마루작은도서관,bf090724@hanmail.net,http://bookfloor.winbook.kr
145074,희망남포작은도서관,,576-841,063-542-0211,063-545-4999,전북 김제시 성덕면 남포리 302-3번지,nampo0445@hanmail.net,
145075,전북도청도서관,,54968,063-280-2451,063-280-2459,전라북도 전주시 완산구 효자로 225번지,dlduaud2357@korea.kr,http://library.jeonbuk.go.kr
145076,깊은샘(청복) 작은 도서관,,570-979,063-851-2626,063-852-0691,전북 익산시 영등동 252번지,drlovei@hanmail.net,
145077,김제교육문화회관,,576-807,063-540-6831,,전북 김제시 요촌북로 72,skjj0413@jbedu.kr,http://www.gecc.go.kr/
