LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
146001,강진군립도서관,,527-802,061-430-3834,061-430-3839,전라남도 강진군 강진읍 남문길 10,dorangsebi@korea.kr,www.gjlib.go.kr/
146002,전라남도고흥평생교육관,,59542,061-830-2591,061)834-3594,전라남도 고흥군 고흥읍 고흥로 1647-13,pyeong2584@hanmail.net,ghlife.jne.go.kr
146003,곡성교육문화회관,,57537,061-362-0671,061)383-1318,전라남도 곡성군 곡성읍 읍내7길 29,changhon@korea.kr,
146004,성황공공도서관ⓧ,,545-050,061)793-8780,061)791-8781,전남 광양시 광양읍 성황동 342,,http://www.gylib.or.kr/home/
146005,구례공공도서관,,57652,061-782-2366,061-782-0755,"전라남도 구례군 구례읍 학교길 119-6, 구례공공도서관",guryelib@korea.kr,http://grlib.jne.go.kr
146006,남평공공도서관,,520-844,061-337-9436,061)337-9438,전라남도 나주시 남평읍 남평3로 14-13,cityyoung@korea.kr,www.nplib.or.kr/
146007,나주공공도서관,,58258,061-330-6725,061-333-6050,전라남도 나주시 남고문로 51,jn001005@korea.kr,http://njlib.jne.go.kr/
146008,담양공공도서관,,57347,061-383-7435,061)383-7439,전라남도 담양군 담양읍 미리산길 31-48,dylib@korea.kr,www.dylib.jne.go.kr/
146009,목포시립도서관,,58704,061-278-3320,061-278-3315,전라남도 목포시 용당로160번길 32,tlfgdjgo12@naver.com,http://www.mokpolib.or.kr/
146010,목포공공도서관,,58639,061-270-3834,061-278-3518,전라남도 목포시 원산주택로3번길 6,leegoun16@korea.kr,http://mplib.jne.go.kr/
146011,무안공공도서관,,58521,061-452-8300,061-453-1770,전라남도 무안군 무안읍 교촌길 42,muan8301@korea.kr,http://malib.jne.go.kr/
146012,보성공공도서관,,59454,061-852-3891,061-853-2463,전라남도 보성군 보성읍 현충로 140,jinjoo1206@korea.kr,http://bslib.jne.go.kr
146013,벌교공공도서관,,59428,061-858-0501,061)858-0503,전라남도 보성군 벌교읍 월곡길 13,jn103020@jne.go.kr,http://www.beolgyolib.or.kr/
146014,순천시립그림책도서관,,540-200,061-749-8892,061-749-4715,전라남도 순천시 도서관길 33 (동외동),chlchlfus@korea.kr,www.sclibrary.or.kr
146015,여수시립현암도서관,,59722,061-659-4810,061-659-1931,전라남도 여수시 충민사길 43,issun0@korea.kr,http://yslib.yeosu.go.kr
146016,영광공공도서관,,57045,061-353-2690,061-352-2690,전라남도 영광군 영광읍 천년로13길 2-16,yglib@korea.kr,http://yglib.jne.go.kr
146017,영암공공도서관,,58414,061-473-0692,061-473-6785,전라남도 영암군 영암읍 서남역로 27-11,oberon@korea.kr,https://yalib.jne.go.kr
146018,장성공공도서관,,57220,061-399-1672,061)392-8845,전라남도 장성군 장성읍 청운7길 22,newmoon@korea.kr,jslib.jne.go.kr
146019,장흥공공도서관,,59323,061-862-3555,061)863-3580,전라남도 장흥군 장흥읍 중앙로2길 33,-,http://jhlib.jne.go.kr
146020,진도공공도서관,,58917,061-544-2937,061)544-0398,전라남도 진도군 진도읍 철마길 12,hke702@korea.kr,https://jdlib.jne.go.kr/index.es?sid=b9
146021,함평공공도서관,,57147,061-322-0519,061-324-5573,전라남도 함평군 함평읍 신기산길 46-12,jn3220515@korea.kr,
146022,해남공공도서관,,59029,061-536-2483,061)536-7944,전라남도 해남군 해남읍 서림길 20,jn143010@jne.go.kr,www.hnlib.or.kr/
146023,화순공공도서관,,58120,061-372-0530,061)372-0777,전라남도 화순군 화순읍 도서관길 15,jsun@boline.com,www.hwasunlib.or.kr
146024,광양시립중앙도서관,,57734,061-797-2530,061-797-4154,전라남도 광양시 광양읍 향교길 9-30,book5756@hanmail.net,http://lib.gwangyang.go.kr/
146025,광양공공도서관,,57780,061-797-5700,061-791-8781,"전라남도 광양시 중마로 262, 광양공공도서관 2층 종합자료실 (중동)",jn053010@korea.kr,www.gylib.or.kr/home/
146026,여수시립쌍봉도서관,,59672,061-659-4770,061-659-5856,전라남도 여수시 학동서4길 18-12,skdiddl5@korea.kr,yslib.yeosu.go.kr/
146027,영광군립도서관,,513-807,061-350-5663,061-350-5126,전남 영광군 영광읍 중앙로 228-16,sibizi38@hanmail.net,http://www.yggunlib.go.kr/
146028,완도군립도서관,,537-800,061-550-6901,,전라남도 완도군 완도읍 주도길 3-1,,http://www.wandolib.go.kr/
146029,영암도서관(영암군 문화관광과),,58414,061-470-2219,061)470-2219,전라남도 영암군 영암읍 교동로 89-5,gylib@korea.kr,library.yeongam.go.kr/
146030,나주시립도서관,,520-240,061-330-8480,061)339-2563,전라남도 나주시 영산포로 185-6 (영산동),yongk97@hanmail.net,http://lib.naju.go.kr/
146031,완도노화도서관,,537-840,061-550-6307,061-550-6258,전라남도 완도군 노화읍 노화로 816-1,libraryman@korea.kr,http://0
146032,신안군립도서관,,535-815,061)240-4071,061)240-4079,전남 신안군 압해면 학교리 694-10,ansgustlr@korea.kr,
146033,융성도서관,,58437,061)470-6806,,전라남도 영암군 서호면 서호로 322-12 융성도서관(전남 영암군 서호면 장천리 489-1),paksalhy@nate.com,
146034,순천시립도서관연향분관,,540-951,061-749-8555,061)749-4716,전라남도 순천시 연향번영길 54 (연향동),-,www.sclibrary.or.kr
146035,고흥군립남부도서관,,548-900,061-830-5538,061)830-5539,전라남도 고흥군 도양읍 신항 8길 5-4,1,http://ghlib.go.kr/
146036,여수시립돌산도서관,,59769,061-690-7234,061-690-7758,전라남도 여수시 돌산읍 강남해안로 129,min121313@naver.com,yslib.yeosu.go.kr/
146037,보성농어촌공공도서관,,546-700,061-850-5204,061-850-5249,전라남도 보성군 득량면 예당길 155-23,bmw12369@korea.kr,http://www.boseong.go.kr
146038,여수시립소라도서관,,59649,061-659-4833,061-659-1929,전라남도 여수시 소라면 덕양로 344,yeosulib@korea.kr,yslib.yeosu.go.kr/
146039,해남군립도서관,,530-807,061-530-5890,061-530-5599,전라남도 해남군 해남읍 군청길 4 문화예술회관,cmr7548@korea.kr,http://lib.haenam.go.kr/
146040,구례군매천도서관,,57635,061-780-2660,061-783-7441,전라남도 구례군 구례읍 서시천로 76-22,cho-red@hanmail.net,www.gurye.go.kr/library
146041,옥과공공도서관,,57504,061-360-8476,061)363-1078,전라남도 곡성군 옥과면 리문4길 16,lyh891121@korea.kr,library.gokseong.go.kr/
146042,전라남도 광양평생교육관,,57720,061-815-1611,061-794-5684,전라남도 광양시 안산길 23,luciang@nate.com,www.gylife.go.kr/
146043,무안군공공도서관,,534-874,061-450-5465,061-453-0458,전남 무안군 해제면 신정리 23-3,yyseon1012@korea.kr,http://cafe.daum.net/muanlib
146044,장성군립중앙도서관,,57222,061-393-7900,061-393-8765,전라남도 장성군 장성읍 문화로 110,js504150@korea.kr,https://lib.jangseong.go.kr
146045,여수시립율촌도서관,,59602,061-659-4848,061-659-1930,전라남도 여수시 율촌면 율촌로 100-11,jangshoo@korea.kr,yslib.yeosu.go.kr
146046,자산문화도서관,,535-911,061)240-8890,,전남 신안군 흑산면 예리 176-99,,
146047,삼호도서관(영암군홍보교육과),,526-897,061-470-2725,061-470-2725,전라남도 영암군 삼호읍 용앙리,dudfyd4401@hanmail.net,http://www.yalibrary.or.kr/
146048,금일공공도서관,,537-900,061-550-5143,061-550-5618,전라남도 완도군 금일읍 금일로 365-2,yyseon1012@hanmail.net,
146049,광양용강도서관,,57748,0617973859,,전라남도 광양시 광양읍 기두5길 5,siberia@korea.kr,
146050,광양시립중마도서관,,57790,061-797-2430,,전라남도 광양시 광장로 14,libmaster.gwangyang.go.kr,http://lib.gwangyang.go.kr
146051,고흥군립북부도서관,,548-851,061-830-5951,061-830-5952,전라남도 고흥군 동강면 동강중촌길 35,cafe4005@hanmile.net,http://www.ghlib.co.kr
