LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
147001,경산시립도서관,,38431,053-853-8659,053-853-8660,경상북도 경산시 하양읍 문화로10길 15,dmsthd1175@korea.kr,lib.gbgs.go.kr,,
147002,경상북도교육청 고령도서관,,40136,054)955-2510,054)954-6220,경상북도 고령군 대가야읍 연조1길 10,-,http://www.gbelib.kr/gr,,
147003,경상북도교육청 구미도서관,,39305,054)450-7001,054)458-8370,경상북도 구미시 산책길 41,skyoky7@gbe.kr,http://www.gbelib.kr/gm,36.1243092,128.3313361
147004,경상북도교육청 삼국유사군위도서관,,39013,054-382-3964,054-382-0520,경상북도 군위군 군위읍 군청로 175,catss@korea.kr,http://www.gbelib.kr/gw,36.2272756,128.5685515
147005,경상북도립금릉공공도서관ⓧ,,740-931,054)435-2221,054)434-3937,경북 김천시 지례면 교리 565,,,,
147006,경상북도교육청 점촌도서관가은분관,,36996,054)572-0309,054)571-1251,경상북도 문경시 가은읍 대야로 2508,kaeunlib@hanmail.net,http://www.gbelib.kr/jc,36.6606772,128.0506182
147007,경상북도교육청 봉화도서관,,36238,054)673-0973,054)673-2544,경상북도 봉화군 봉화읍 내성로3길 6,-,http://www.gbelib.kr/bh,36.888135,128.7398016
147008,경상북도교육청 상주도서관,,37211,054-530-6300,054-536-0415,경상북도 상주시 상서문1길 127 (남성동),catss@info.go.kr,www.gbelib.kr/sj,,
147009,경상북도교육청 성주도서관,,40018,054)933-2095,054)931-2495,경상북도 성주군 성주읍 주천로 15-11,ahn-lib@hanmail.net,http://www.gbelib.kr/sjl/,35.9498,128.28188
147010,경상북도교육청 안동도서관,,36674,0548408494,0548408498,경상북도 안동시 안기천로 48,cat73@gyo6.net,gbelib.kr/ad,36.5627054,128.7168333
147011,경상북도교육청 안동도서관용상분관,,36720,054)821-5491,054)821-7540,경상북도 안동시 경동로 884-8,meta89@daum.net,http://www.gbelib.kr/adys,36.5502146,128.7746105
147012,경상북도교육청 영양도서관,,36539,054-683-2829,054-683-1718,경상북도 영양군 영양읍 팔수로 538,yylib@korea.kr,http://www.gbelib.kr/yy,36.6618532,129.1110784
147013,경상북도교육청 영일도서관,,37539,054)261-8856,054)262-2525,경북 포항시 북구 흥해읍 흥해로101 경상북도교육청 영일도서관,sjyung@naver.com,www.gbelib.kr/yi,,
147014,경상북도교육청 금호도서관,,38876,054-335-2124,054-331-9047,경상북도 영천시 금호읍 금호로 173,libbest@hanmail.net,http://www.gbelib.kr/ycgh,35.9302304,128.8680541
