LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
148001,거제도서관,,53257,0556376311,055637-6313,경상남도 거제시 계룡로7길 2,libraian23@naver.com,gjlib.gne.go.kr,34.8789688,128.6228721
148002,거창도서관,,50133,055)944-8594,055)943-6052,경상남도 거창군 거창읍 하동1길 9,gclib84@korea.kr,gclib.gne.go.kr,35.687410400000005,127.91173209223244
148003,경상남도교육청 고성도서관,,52937,0556738461,0556738464,경상남도 고성군 고성읍 동외로195번길 6,iwantu012@korea.kr,http://gslib.gne.go.kr/,,
148004,김해도서관,,50918,055-320-5562,055-320-5574,경상남도 김해시 왕릉길 72,choho3@korea.kr,https://ghlib.gne.go.kr,,
148005,남해도서관,,52427,055)864-0973,055-864-2074,경상남도 남해군 남해읍 화전로43번길 11-3,nhlib4453@korea.kr,nhlib.gne.go.kr,34.8318357,127.8952483
148006,마산도서관,,51334,055-240-4551,055-240-4568,경상남도 창원시 마산합포구 용마산길 12 (산호동),seogunyoun@korea.kr,mslib.gne.go.kr,,
148007,밀양도서관,,50467,055-353-6975,055-356-8048,경상남도 밀양시 삼랑진읍 만어로 7,ynmee@dreamwiz.com,mrlib.gne.go.kr,35.4395148,128.8459692
148008,밀양시립도서관,,50437,055-359-6027,055-359-6032,경상남도 밀양시 중앙로 265,sunori00@korea.kr,http://www.myclib.or.kr/,35.4733777,128.7712199
148009,사천도서관,,52518,055)853-8401,055)853-8406,경상남도 사천시 사천읍 평화2길 21,mogwa63@hanmail.net,salib.gne.go.kr/,,
148010,산청도서관,,666-804,055)973-2544,055)973-2711,경남 산청군 산청읍 꽃봉산로 79번길 45,eyoungp31@naver.com,www.sanlib.or.kr/,,
148011,삼천포도서관,,52553,835-4436,834-8928,경상남도 사천시 삼천포대교로 622,hylibki@empal.com,http://www.scplib.or.kr/,34.9266303,128.0485238
148012,양산도서관,,50617,055)385-7003,055)385-7006,경상남도 양산시 희망1길 25,sky09420@hanmail.net,www.yangsanlib.or.kr/,35.3473843,129.0437239
148013,마산회원도서관,,51324,055-225-7481,055-225-4804,"경상남도 창원시 마산회원구 3·15대로 558, 마산회원도서관 (회원동)",masean19@korea.kr,lib.changwon.go.kr/hw,,
148014,울산남부도서관,,44648,0522597530,0522597579,울산광역시 남구 거마로13번길 6,26000960@use.go.kr,www.usnl.or.kr/,35.5357051,129.2945096
148015,울산동부도서관,,44018,052-236-0465,052-236-0469,울산광역시 동구 봉수로 505,26000965@mail.use.go.kr,www.usdl.or.kr/,35.50668,129.41875
148016,울산광역시남구문화원,,680-030,052-272-3438,,울산시 남구 달동 518-7,1,http://www.ng518.kr/,,
148017,울산중부도서관,,44532,0522106504,0522106565,"울산광역시 중구 시계탑거리 38, 엉터리생고기 2층,3층 울산중부도서관 (성남동)",prowess@use.go.kr,www.usjl.or.kr/,,
148018,울주도서관,,44940,052-255-8166,052-255-8159,울산광역시 울주군 언양읍 언양로 109,uljulib@use.go.kr,www.usul.or.kr/,35.5560847,129.1408332
148019,의령도서관,,52143,055)572-0941,055)573-0890,경상남도 의령군 의령읍 의병로25길 9-8,-,www.urlib.or.kr/main/main.xm,,
148020,진양도서관,,660-843,0557612722,0557619606,경상남도 진주시 문산읍 동부로 588번길 24(진주시 문산읍 삼곡리 640-3번지),jylib272@korea.kr,http://www.jy-lib.or.kr/,,
148021,경상남도교육청 진영도서관,,50864,0553421971,0553421451,경상남도 김해시 진영읍 진영로265번길 9-61,enk11@korea.kr,http://jylib.gne.go.kr/,35.3023895,128.7468081
148022,진주시립 연암도서관,,52786,055-749-5982,055-749-5989,경상남도 진주시 모덕로47번길 13-17 (상대동),pridean@korea.kr,lib.jinju.go.kr,,
148023,진해도서관,,51694,055-225-7511,055-225-4806,경상남도 창원시 진해구 충장로 141,-,lib.changwon.go.kr/jh,35.1529806,128.679332
148024,창녕도서관,,50331,055)532-9506,055)532-9507,경상남도 창녕군 창녕읍 남창녕로 52,chlib12@korea.kr,cnlib.gne.go.kr,35.5339768,128.5023218
148025,창원도서관,,51519,055-278-2871,055-278-2835,경상남도 창원시 성산구 두대로 203,pdcl3738@hanmail.net,cwlib.gne.go.kr,35.2273855,128.6579047
148026,통영도서관,,53077,055-648-8091,055-648-1602,경상남도 통영시 봉수로 37,tylib@korea.kr,tylib.gne.go.kr,34.8262097,128.4157542
148027,하동도서관,,52332,055-884-7981,055-882-5958,"경상남도 하동군 하동읍 경서대로 80, 하동도서관",hdlib@korea.kr,www.hdlib.gne.go.kr/,,
148028,함안도서관,,52043,055)583-6919,055)583-8266,경상남도 함안군 가야읍 함안대로 495,upis70@hanmail.net,hmlib.gne.go.kr,35.2738753,128.4073783
148029,경상남도교육청 함양도서관,,50036,055-963-3186,055-964-0810,경상남도 함양군 함양읍 함양로 1143-1,,hylib.gne.go.kr,35.48075,127.68464
148030,합천도서관,,50238,055)932-0521,055)932-3945,경상남도 합천군 합천읍 동서로 152,tjdrk123@korea.kr,hclib.gne.go.kr,,
148031,대평면새마을문고,,,,,,,,,
148032,경상남도 교육청 남지도서관,,635-903,055)526-1490,055)526-1492,경남 창녕군 남지읍 낙동로 437,ksj9558@korea.kr,https://njlib.gne.go.kr/,,
148033,거제시립장승포 도서관,,53318,055-639-3871,055-639-3879,경상남도 거제시 신부로 36 (장승포동),shinefhd@korea.kr,http://lib.geoje.go.kr,,
148034,진동도서관,,631-815,055)271-0350,055)271-0351,경상남도 창원시 마산합포구 진동면 삼진의거대로 661-94,jindonglib@korea.kr,http://www.jindonglib.or.kr,35.1193137,128.48976008589602
148035,창원중앙도서관,,51434,055-255-7331,055)261-8273,경상남도 창원시 의창구 용호로 50 (반송동),-,www.cwcl.or.kr/,,
148036,경상남도교육청 하남도서관,,50460,055)391-1829,055)391-1848,경상남도 밀양시 하남읍 수산중앙로 63,master@hlib.or.kr,hnlib.gne.go.kr/,35.3748075,128.7103018
148037,마산회원도서관 내서분관,,51224,055)225-7481,055)225-4804,경상남도 창원시 마산회원구 내서읍 삼풍로 79,wingbag@masan.go.kr,http://www.cwcl.or.kr/,35.233655,128.5016491
148038,꿈이랑도서관,,53084,055)643-6494,650-4688,경상남도 통영시 산양읍 둔전길 155,-,www.tongyeonglib.or.kr/library/,,
148039,김해칠암도서관,,50817,055-330-4581,055-330-2919,경상남도 김해시 활천로285번길 14 (삼방동),sjs6069@korea.kr,http://lib.gimhae.go.kr/,,
148040,진주시립서부도서관,,52669,055-749-5983,055-749-5988,"경상남도 진주시 평거로 249, 진주시립서부도서관 (이현동)",pridean@korea.kr,lib.jinju.go.kr,,
148041,양산시립 웅상도서관,,50520,055)386-6603,055)380-4138,경상남도 양산시 웅상대로 1009-2 (주진동),uslib@yscity.or.kr,lib.yangsan.go.kr,,
148042,김해시립장유도서관,,51004,055-330-7451,055-330-6793,경상남도 김해시 대청로176번길 7,sjs6069@korea.kr,http://lib.gimhae.go.kr,35.1909203,128.7977794
148043,마산합포도서관,,51742,055-240-2414,055-225-4803,경상남도 창원시 마산합포구 월영동16길 22 해운동,lyj0201@masan.go.kr,http://www.cwcl.or.kr,,
148044,통영시립욕지도서관,,650-913,055)650-4795,055)650-4796,경남 통영시 욕지면 동항리 787-1,ribba344@nate.com,,,
