LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
149001,서귀포도서관,,63585,064-762-4307,064-732-1331,제주특별자치도 서귀포시 중앙로150번길 4-1,-,www.sgplib.or.kr
149002,서귀포시삼매봉도서관,,63594,064-733-1524,064)735-3654,제주특별자치도 서귀포시 남성중로153번길 15,qlaosl@naver.com,lib.jeju.go.kr
149003,송악도서관,,63507,064)794-3476,064)794-3690,제주특별자치도 서귀포시 대정읍 동일하모로149번길 12,rosaro75@jje.go.kr,http://www.songaklib.or.kr
149004,제주도서관,,63218,0647176400,0647176480,제주특별자치도 제주시 연삼로 489,jejulib@korea.kr,www.jejulib.or.kr/
149005,탐라도서관,,63088,064-742-7395,064)750-7557,제주특별자치도 제주시 정원로 50,-,lib.jeju.go.kr
149006,제주시우당도서관,,63284,0647281503,0647288559,제주특별자치도 제주시 사라봉동길 30 (건입동),ok2004@korea.kr,lib.jeju.go.kr
149007,한수풀도서관,,63026,064)796-0601,064)796-4388,제주특별자치도 제주시 한림읍 한림상로 240-11,-,www.hsplib.go.kr/
149008,서귀포시중앙도서관,,63567,064-760-3688,064)735-3657,제주특별자치도 서귀포시 김정문화로 32,suk5066@hanmail.net,lib.jeju.go.kr
149009,동녘도서관,,63361,064-786-6500,064-786-6590,제주특별자치도 제주시 구좌읍 일주동로 3132,dnlib@korea.kr,http://www.dnlib.or.kr/
149010,제남도서관,,63620,064)764-4651,064)764-5833,제주특별자치도 서귀포시 남원읍 남원체육관로 183,-,www.jnlib.go.kr/
149011,애월도서관,,63045,064-799-8488,064)741-0437,제주특별자치도 제주시 애월읍 일주서로 6339,-,lib.jeju.go.kr/
149012,성산일출도서관,,63640,064-760-3767,,제주특별자치도 서귀포시 성산읍 고성오조로 133,-,lib.jeju.go.kr
149013,서귀포시동부도서관,,697-030,064-767-1524,064-760-3699,제주특별자치도 서귀포시 일주동로 8232 (신효동),jungjy@eco.co.kr /magnoria@hanmail.net,http://lib.seogwipo.go.kr/
149014,조천읍도서관,,695-814,064-728-8571,064)784-6003,제주특별자치도 제주시 조천읍 일주동로 1189,,http://jclib.jejusi.go.kr/
149015,안덕산방도서관,,63529,064-794-2489,,제주특별자치도 서귀포시 안덕면 화순서서로 44,kbs1634@hanmail.net,lib.jeju.go.kr
149016,한경도서관,,63002,064-728-1508,064)772-3723,제주특별자치도 제주시 한경면 신한로 13,peneny@korea.kr,lib.jeju.go.kr/
149017,서귀포시서부도서관,,63544,064-739-9862,,제주특별자치도 서귀포시 중문관광로 346,suk5066@hanmail.net,lib.jeju.go.kr
149018,표선도서관,,63629,064-787-5488,064-787-6488,제주특별자치도 서귀포시 표선면 표선백사로110번길 17-10,kcs9784@namjeju.korea.go.kr,lib.jeju.go.kr
149019,제주기적의도서관,,690-827,064-728-8560,064-751-0156,제주특별자치도 제주시 동광로12길 19 (이도2동),kbs1634@hanmail.net,http://miracle.jeju.go.kr/2008/
149020,이어도책사랑도서관,,697-815,064-732-9833,064-732-1605,제주특별자치도서귀포시서홍동442-19,webmaster@ieodo.net,
149021,노형꿈틀작은도서관,,690-804,064-748-2611,064-711-2613,제주 제주시 노형동 2520-16,ggbook74@hanmail.net,http://www꿈틀작은도서관.kr
149022,서귀포기적의도서관,,697-802,064-732-3251,064-760-3729,제주특별자치도 서귀포시 일주동로 8593 (동홍동),magnoria@daum.net,http://lib.seogwipo.go.kr/
149023,한라도서관,,63147,064-710-8667,064-710-8640,제주특별자치도 제주시 오남로 221,utopia0129@korea.kr,lib.jeju.go.kr
149024,홍익 작은도서관 ⓧ,,690-072,064-702-0845,064-725-0844,제주 제주시 삼양2동 2181-3,hongikcenter@hanmail.net,
149025,상창 바람소리 작은도서관,,699-921,064-794-9726,064-794-6045,제주 서귀포시 안덕면 상창리 648-1,youngseo27@hanmail.net,
149026,제주시종합자료센터,,690-701,064-728-3967,064-753-2100,제주특별자치도 제주시 광양9길 10,eyre15@jeju.go.kr,http://jejudb.jejusi.go.kr/
149027,올리브작은도서관,,690-072,064-702-0845,064-702-0845,제주 제주시 삼양2동 2181-3 지하,1109sh@hanmail.net,
149028,두맹이작은도서관,,690-012,064-721-0599,064-721-0598,제주 제주시 일도2동995-6,loveapdud@naver.com,www.youngwel.org/index.htm
149029,금능꿈차롱작은도서관,,695-923,064-796-1941,064-796-3079,제주 제주시 한림읍 금능리 1371번지,piepiepie@naver.com,
149030,봉성새별작은도서관,,695-907,064-799-1463,064-799-6473,제주 제주시 애월읍 봉성리,903811@korea.com,http://cafe.daum.net.sebou
149031,제주서부방음도서관,,690-241,064-711-7602,064-711-7603,제주 제주시 도두1동 2447-1(도공로 54),insuk12@nate.com,
149032,중앙꿈쟁이작은도서관,,697-843,070-4548-1409,,제주 서귀포시 서귀동 269-4번지 3층 중앙꿈쟁이작은도서관,atatakaide@naver.com,
149033,푸른열매작은도서관,,695-964,010-2834-8117,,제주 제주시 조천읍 조천리,lsm-sunny@daum.net,
149034,제주영어교육센터 도서관,,699-931,064-793-5102,064-064-5142,제주 서귀포시 대정읍 구억리 1166 제주영어교육센터,jeec2011@moe.go.kr,jejueec.moe.go.kr
149035,제주특별자치도 종합자료센터,,63122,064-710-2168,,제주특별자치도 제주시 문연로 6 제주특별자치도청 총무과,durtk2009@korea.kr,
149036,제주꿈바당어린이도서관,,63142,064-745-7101,064-745-7109,제주특별자치도 제주시 연오로 140,dreambadang@naver.com,http://www.jjdreamlib.or.kr/index.htm
149037,강감찬함 병영도서관,,63563,064-905-7272,,제주특별자치도 서귀포시 이어도로 662 민군복합항,wkddnr016@naver.com,
149038,문무대왕함 병영도서관,,63563,055-549-0899,,제주특별자치도 서귀포시 이어도로 622 제주민군복합항 문무대왕함,ily1511@naver.com,
149039,왕건함 함내도서관,,62563,055-549-0463,,제주특별자치도 서귀포시 이어도로 622 제주민군복합항,ddh978@navy.mil.kr,
149040,서귀포 점자 도서관,,63562,010-3698-4583,064-738-4200,제주특별자치도 서귀포시 월평로 10 (월평동),magdalena27@naver.com,
