NUMBER,TITLE,AUTHOR,PUBLISHER,PUBYEAR,TYPE,CONTENTS,COVER_YN,LIB_NAME,LIB_CODE,REC_KEY,COVER_URL
1,黃順元,黃順元 저,三省出版社,1978,일반도서,N,N,안양시립평촌도서관,141036,13063654,
2,<b>황순원</b>,<b>황순원</b> 저,태극출판사,1979,일반도서,N,N,충청북도학생교육문화원,143014,1795579,
3,"黃順元. , 金廷漢. , 崔貞熙. , 朴榮濬",,金星,1981,일반도서,N,N,인천광역시 중앙도서관(통합도서),123006,1314653,
4,黃順元,,太極,1982,일반도서,N,N,인천광역시 중앙도서관(통합도서),123006,1312982,
5,(한국 대표 명작)<b>황순원</b>,<b>황순원</b> 작;李甫永 編著,志學社,1985,일반도서,Y,N,,,228198,
6,<b>황순원</b>,李甫永 編著,문예총서,1985,일반도서,N,N,남산도서관,111010,1392455,
7,"黃順元 : 별과 같이 살다, 카인의 後裔 外",黃順元 著,三省堂,1986,일반도서,N,N,부산광역시 반송도서관(통합도서),121004,1795299,
8,<b>황순원</b>,이보영 편저,지학사,1987,일반도서,N,N,경기도립성남도서관,141008,140489604,
9,<b>황순원</b>,이보영 편저,지학사,1987,일반도서,N,N,경기도립성남도서관,141008,140489606,
10,黃順元,黃順元 著,語文閣,1988,일반도서,N,N,한밭도서관,125003,759626,
11,<b>황순원</b>,이보영 著,지식사,1989,일반도서,N,N,양양도서관,142012,1900746,
12,黃順元 ; 吳永壽,,삼성이데아,1989,일반도서,N,N,도봉도서관,111011,160665828,
13,<b>황순원</b> : 대표작품.작품해설.작가평전.연구자료,李甫永 編著,지학사,1989,일반도서,,N,,,173409399,
14,<b>황순원</b>,이보영,지학사,1990,일반도서,N,N,경상북도립금릉공공도서관ⓧ,147005,1320599,
15,<b>황순원</b>,학원출판사편집부 편,학원출판사,1991,일반도서,N,N,경상북도립영일공공도서관,147013,1501925,
16,<b>황순원</b> /,李甫永 編著,"벽호,",1993,일반도서,N,N,양천도서관,111015,1483269,
17,黃順元,<b>황순원</b> 작 ; 이보영 편저,벽호,1993,일반도서,N,N,국립중앙도서관,011001,21982,
18,<b>황순원</b>,벽호 저,벽호,1993,일반도서,N,N,양평군립도서관,141011,10875227,
19,<b>황순원</b>,李甫永 編著,벽호,1994,일반도서,N,N,한밭도서관,125003,814377,
20,<b>황순원</b>,<b>황순원</b> 저,어문각,1994,일반도서,N,N,경상북도립성주공공도서관,147009,1930223,
21,<b>황순원</b>,이태동 편,서강대출판부,1995,일반도서,N,N,평생교육원완산도서관,145017,1736445,
22,<b>황순원</b> : 카인의 후예 외,<b>황순원</b> 저,동아,1995,일반도서,N,N,부산광역시 기장도서관(통합도서),121026,29679526,
23,<b>황순원</b>,김종회 편,새미,1996,일반도서,N,N,원주시립도서관,142015,23666838,
24,<b>황순원</b>,<b>황순원</b>,동아,1996,일반도서,N,N,서산시립도서관대산분관,144032,22867837,
25,<b>황순원</b>,이태동 편,서강대학교출판부,1997,일반도서,N,N,국립중앙도서관,011001,1204301,
26,<b>황순원</b>,김종회 편저,새미(서울,1998,기타,N,N,금천구립정보도서관,111040,166251835,
27,<b>황순원</b>,김종회 지음,새미,1998,일반도서,N,N,사북공공도서관,142035,22972400,
28,黃順元,<b>황순원</b> 작 ; 이보영 편저,벽호,1998,일반도서,N,N,성동구립도서관,111035,1898985,
29,<b>황순원</b> : 선비 정신과 인간 구원의 길,송현호 지음,건국대,2001,일반도서,N,N,동대문도서관,111012,23012605,
30,<b>황순원</b>,김종회 編,바로북닷컴,2001,컴퓨터파일,N,N,국립중앙도서관,011001,13513733,
31,<b>황순원</b>. 2,송현호 지음,건국대학교출판부,2002,일반도서,N,N,경상북도립구미도서관,147003,28968478,
32,<b>황순원</b>,송현호,건국대출판부,2003,일반도서,N,N,순천시립도서관연향분관,146034,27628532,
33,탈,黃順元 著,문학과지성사,19--,일반도서,,N,,,1504842,
34,신들의 주사위,黃順元 著,문학과지성사,19--,일반도서,,N,,,1480626,
35,"너와 나만의 시간, 내일",黃順元 著,문학과지성사,19--,일반도서,,N,,,1520082,
36,"별과 같이 살다 , 카인의 後裔 , 人間接木",黃順元 著,民衆書館,19--,일반도서,,N,,,895258602,
37,일월,黃順元 著,문학과지성사,19--,일반도서,,N,,,1480831,
38,"學, 잃어버린 사람들",黃順元 著,문학과지성사,19--,일반도서,,N,,,1692289,
39,TV 문학관 걸작선,,대학문화사,19--,일반도서,,N,,,1478900,
40,움직이는 城,黃順元 著,문학과지성사,19--,일반도서,,N,,,1480832,
41,"늪, 기러기",黃順元 著,문학과지성사,19--,일반도서,,N,,,1480826,
42,카인의 후예. 1-3,<b>황순원</b>,한국시각장애자복지회,19--,점자자료,N,N,국립중앙도서관,011001,250093574,
43,"목넘이 마을의 개, 곡예사",黃順元 著,문학과지성사,19--,일반도서,,N,,,1480827,
44,시선집,黃順元 著,문학과지성사,19--,일반도서,,N,,,1480833,
45,"별과 같이 살다, 카인의 후예",黃順元 著,문학과지성사,19--,일반도서,,N,,,1480828,
46,<b>황순원</b> 연구,黃順元 著,문학과지성사,19--,일반도서,,N,,,1692388,
47,"인간접목, 나무들 비탈에 서다",黃順元 著,문학과지성사,19--,일반도서,,N,,,1480829,
